,title,byline,dates,datetime
0,[ China seeks diplomatic support for Japan stance... ],,01 Jan 2014,2014-01-01
1,[ Court of Appeal lifts ban on informer names... ],,01 Jan 2014,2014-01-01
2,"Air quality index hits highest level on second day Authorities issue health warning after reading in Causeway Bay, but say Tai Po's was inaccurate","Kao, Ernest.",01 Jan 2014,2014-01-01
3,Exporters hope global recovery can boost sales,"Tsang, Denise.",01 Jan 2014,2014-01-01
4,"Fate of first HK-built plane up in the air Pilot who is building two-seater, single-engine plane from a kit - with the help of girls' school pupils - hopes it will be cleared for take-off this year","Lau, Stuart.",01 Jan 2014,2014-01-01
5,Five IPOs break the drought on mainland Regulator's approval for listings is seen as sign of Beijing's resolve to reform the market,"Chen, George; Boehler, Patrick.",01 Jan 2014,2014-01-01
8,"Parents blamed for HK children's declining fitnessFitness level of HK children falls 30pc since 1970 They would rather see youngsters play music than learn to swim, says city exercise expert","Kang-chung, Ng.",01 Jan 2014,2014-01-01
9,Police swoop on loan-shark syndicates,"Ngo, Jennifer.",01 Jan 2014,2014-01-01
24,Private club accused of felling healthy trees Victoria Recreation Club member hits out at bosses for making a mess of greenery at its Sai Kung site - and possible breaching its lease,"Kao, Ernest.",01 Jan 2014,2014-01-01
14,"[ Thursday, January 9: British Chamber of Commerce breakfast: ""2014 economic outlook with Stephen Green - After the slowdown, the deluge?"" HK Club. ]",,01 Jan 2014,2014-01-01
12,"[ NEWS (Section A): Leading the News A3 , Focus A4 , China A5 , China Digest A5 , Asia A6 , World A7-9 , Opinion A10 , Insight A11... ]",,01 Jan 2014,2014-01-01
13,[ Rival rallies kick off the new year... ],,01 Jan 2014,2014-01-01
19,Dog abuser gets community service,"Chan, Thomas.",01 Jan 2014,2014-01-01
15,[ We are no longer second-class citizens because of the length of our names... ],,01 Jan 2014,2014-01-01
16,Anti-nuclear family,,01 Jan 2014,2014-01-01
17,Consumer spending faces slowdown stress Buying curbs in the car sector and slowing bull run for sale of gold and jewellery add to uncertainty but online shopping seen booming,"Tsang, Denise; Man-ki, Kwong; Ap, Tiffany.",01 Jan 2014,2014-01-01
18,Diaoyu activist 'missing in Shenzhen' Yang Kuang thought to be in the hands of mainland authorities after previous detentions,"Tsang, Emily.",01 Jan 2014,2014-01-01
11,[ BHP B3... ],,01 Jan 2014,2014-01-01
6,"Hunger for reform to put spring in step of marchers While cost of housing is still top concern, annual study reveals electoral change is a rising priority as tens of thousands prepare to take to streets","Lam, Jeffie; Ngo, Jennifer.",01 Jan 2014,2014-01-01
10,A pyrotechnic welcome,,01 Jan 2014,2014-01-01
21,HK$4.9m way to keep Diaoyu boat in its place,"Siu, Phila.",01 Jan 2014,2014-01-01
20,"The good, the bad and the ugly in 2013 business scene While HKMEx failure is top scandal, progress made in commodities, bond and fund arenas",,01 Jan 2014,2014-01-01
7,Lantau ferry route to closeafter losses,"Siu, Phila; Lee, Ada.",01 Jan 2014,2014-01-01
22,Man may have caught H9N2 at Shenzhen market,"Tsang, Emily; Lo, Wei.",01 Jan 2014,2014-01-01
25,"Resolving to be more resolute next year the bottom line For the resolution-challenged, some advice on learning to get things done right, taking care of people and knowing when to just let go",,01 Jan 2014,2014-01-01
26,"Beijing opts for diplomacy in Abe row Foreign minister calls counterparts in Russia, Germany and Vietnam to protest against Japanese leader's 'alarming' visit to war shrine","Ng, Teddy.",01 Jan 2014,2014-01-01
33,"Cartoon contest touches on delicate subject Nearly 40,000 people submit captions for online competition, but some say topic is inappropriate","Wu, Nan.",01 Jan 2014,2014-01-01
28,Drone disrupts Beijing flights Four arrested over incident say they were carrying out survey work near the airport,"Luo, Chris.",01 Jan 2014,2014-01-01
29,Property to take less of the GDP load Investment in real estate is seen easing back from role as a driver of growth on the mainland amid demand doubts and economic transition,"Chiang, Langi.",01 Jan 2014,2014-01-01
30,"China bulls look to run on bargain shares strategy China bulls look to run onbargain shares strategy Another year of losses is more reason to buy for some investors, who see a match on valuations with shifts in global capital out of boom markets","Moiseiwitsch, Jasper; Sito, Peggy.",01 Jan 2014,2014-01-01
31,[ Beijing... ],Name Name.,01 Jan 2014,2014-01-01
32,[ It's time to close this microblog. ],,01 Jan 2014,2014-01-01
34,Journalists campaign for strike supporter Staff at Southern Weekly say activist facing trial was within his rights to support their stoppage,"Hui, Echo.",01 Jan 2014,2014-01-01
35,Prominent rights activist closes blog,"Zhou, Laura.",01 Jan 2014,2014-01-01
27,Crowds hit streets to welcome 2014 Choking air pollution not enough to deter tens of thousands of revellers,,01 Jan 2014,2014-01-01
37,Reforms ahead as Beijing keeps eye on capital flows New rules come as the government cracks down on corruption and liberalises the capital account,"Man-ki, Kwong.",01 Jan 2014,2014-01-01
38,[ Now time to scrap one-way permit scheme... ],,01 Jan 2014,2014-01-01
39,[ Poverty trap. ],,01 Jan 2014,2014-01-01
40,Companies need a woman's touch,,01 Jan 2014,2014-01-01
41,Plastic fantastic for fighting fakes,,01 Jan 2014,2014-01-01
42,Protests against rezoning waterfront must always be lawful,,01 Jan 2014,2014-01-01
43,In the frames,,01 Jan 2014,2014-01-01
23,MY TAKELeaders must connect with the people,"Kumar, Hari.",01 Jan 2014,2014-01-01
36,"The coming of With just one move, Shinzo Abe may have set his recovery plan and Japan on a crash course by appearing to bow to a nationalist agenda Abegeddon","Rafferty, Kevin.",01 Jan 2014,2014-01-01
34,Police get a foretaste of civil disobedience tactics,,02 Jan 2014,2014-01-02
32,A 'vote' People queue for an hour to cast ballots after online problems but many are pleased with chance to give views on constitutional reform worth waiting for,"Lam, Jeffie; Kao, Ernest; Chan, Samuel.",02 Jan 2014,2014-01-02
1,"[ Customers attack staff at TST bar, then flee... ]",,02 Jan 2014,2014-01-02
2,[ Obamacare finally swings into action... ],,02 Jan 2014,2014-01-02
3,"Ancient relics dug up in Kowloon Coins, ceramics and wells - some dating back to the Song dynasty - found during railway work","Fung, Fanny W Y.",02 Jan 2014,2014-01-02
4,Beijing slams PLA barracks break-in Hong Kong and Macau Affairs Office insists pro-independence campaigners must be punished as four suspects are arrested,"Mok, Danny; Siu, Phila; Ngo, Jennifer.",02 Jan 2014,2014-01-02
5,CKI records reveal it pays little tax in HK Li Ka-shing firm enjoys tax credits of HK$11m in the first half of 2013 as tycoon is accused of dodging taxes in Britain and Australia,Toh Han Shih.,02 Jan 2014,2014-01-02
9,Residents queue for water after main bursts,"Zhao, Shirley; Kang-chung, Ng; Mok, Danny.",02 Jan 2014,2014-01-02
7,One-stop shop for nuptials Wedding fairs make it easy to preview venues and sample services,"Turner, Elizabeth.",02 Jan 2014,2014-01-02
8,Protest for GREATERPUBLIC SAY IN 2017 POLL 94pc of 'referendum' participants call for voice in nominating candidates for chief executive election but march turnout lower than expected,"Cheung, Tony; Ngo, Jennifer; Tam, Johnny.",02 Jan 2014,2014-01-02
10,Turning heads,,02 Jan 2014,2014-01-02
31,Tsuen Wan couple welcome the year's first baby,"Siu, Phila.",02 Jan 2014,2014-01-02
11,Two activists arrested overPLA barracks break-in,"Siu, Phila; Ngo, Jennifer.",02 Jan 2014,2014-01-02
35,"Positive answer to stress on the beat Innovative training scheme uses positive psychology to make frontline officers happier and, hopefully, more effective at their jobs","Chan, Samuel.",02 Jan 2014,2014-01-02
6,The hypocrisy of a crime that is not a crime Hapless Tiger Asia executives pleaded guilty to insider trading but there would have been no offence if they had bought rather than sold,"van der Kamp, Jake.",02 Jan 2014,2014-01-02
36,[ Big trip for pork buns... ],,02 Jan 2014,2014-01-02
33,"[ Miss Chan, 67, retired... ]",,02 Jan 2014,2014-01-02
13,[ Leung ties down a new look in elegance... ],All Around Town.,02 Jan 2014,2014-01-02
12,[ Bombardier B 4... ],,02 Jan 2014,2014-01-02
40,ABE'S SHRINE VISIT STIRS UP WATERS Inflammatory and puzzling gesture by Japan premier has thrown regional issues into confusion,"Kwok, Kristine.",02 Jan 2014,2014-01-02
45,Right steps to urban growth,,02 Jan 2014,2014-01-02
44,New migrants should not be entitled to welfare benefits,,02 Jan 2014,2014-01-02
43,A credible price fighter needed,,02 Jan 2014,2014-01-02
42,[ Supermarket giants' share may be larger... ],,02 Jan 2014,2014-01-02
39,Scientists clash over car's role in Beijing's bad air,"Piao, Vanessa.",02 Jan 2014,2014-01-02
0,'No big problem' with HKTV's mobile deal,"Nip, Amy.",02 Jan 2014,2014-01-02
37,[ Third economic census will survey 70m firms... ],,02 Jan 2014,2014-01-02
16,"[ Thursday, January 9: British Chamber of Commerce breakfast: ""2014 economic outlook with Stephen Green - After the slowdown, the deluge?"" HK Club. ]",,02 Jan 2014,2014-01-02
17,"[ We will fully defend our territory, territorial waters and territorial airspace... ]",,02 Jan 2014,2014-01-02
18,[ Yik Siu-ling set for hospital discharge... ],,02 Jan 2014,2014-01-02
19,Asian ethylene firms set for profit boom Lack of capacity and delays in China's coal conversion projects boost oil-based chemical plants but cheap US gas will pose a threat,"Ng, Eric.",02 Jan 2014,2014-01-02
20,Hongkongers still unsure of stamps with 'no value',"Tang, Edward; Cheung, Carol.",02 Jan 2014,2014-01-02
41,[ Costly options. ],,02 Jan 2014,2014-01-02
22,Slimming pills harm mental health Poisons centre warns women that buying drugs on the internet can be dangerous,"Tsang, Emily.",02 Jan 2014,2014-01-02
14,[ Miko Int'l B3... ],,02 Jan 2014,2014-01-02
21,"Singing, searching and selling for charity It wasn't just corporate events pulling in the big bucks for Operation Santa this year. Locals did their bit too - from treasure hunts to toy sales","Lo, Wei.",02 Jan 2014,2014-01-02
24,Water shortage hampers coal-to-chemicals projects,,02 Jan 2014,2014-01-02
38,Focus on grain supplyto drive other imports Policymakers plan to bring in 'moderate amounts' of non-staple foods as country struggles to meet goal of growing all wheat and rice it needs,"Zuo, Mandy.",02 Jan 2014,2014-01-02
29,Diaoyu activist held for entering Shenzhen Yang Kuang's wife gets news that he is being detained for illegal entry into mainland,"Tsang, Emily.",02 Jan 2014,2014-01-02
30,More young seeking public flats Housing Department survey finds rapidly increasing number of young people applying for rental housing in order to live on their own,"Kang-chung, Ng.",02 Jan 2014,2014-01-02
27,C.Y. Leung's target for new homes is 'under threat'C.Y. Leung could miss target for new homes Experts say time running out to meet housing goal as pressure grows for development deals,"Li, Sandy.",02 Jan 2014,2014-01-02
26,Beijing to phase out special traffic permits,"Meng, Angela.",02 Jan 2014,2014-01-02
25,Authorityramps upreview ofLi purchase Appointment of consultant likely to delay approval for Richard Li to buy CSL New World Mobility amid fears over market dominance,"Nip, Amy.",02 Jan 2014,2014-01-02
23,Taiwan airlines join budget race amid shift in demand China Airlines and TransAsia look to offer discount services as travellers increasingly opt for the restrictive cost savings of no-frills carriers,"Jennings, Ralph.",02 Jan 2014,2014-01-02
15,"[ NEWS (Section A): Leading the News A3 , Focus A4 , China A 5 , China Digest A5 , Asia A6 , World A7-9 , Opinion A10 , Insight A11... ]",,02 Jan 2014,2014-01-02
28,Dash and splash into the new year Thousands brave the cold to usher in 2014 with a swim to Repulse Bay,"Wee, Darren; Choi, Christy.",02 Jan 2014,2014-01-02
93,[ Anthony Wu found guilty of professional misconduct... ],,03 Jan 2014,2014-01-03
71,[ RTHK - 6.99 out of 10... ],,03 Jan 2014,2014-01-03
94,"Crystal ball was cloudy last year, but it had its moments Making predictions is tricky, as Monitor's record for 2013 shows. But we got it right in areas like US equities and the city property market",,03 Jan 2014,2014-01-03
95,[ Avoiding exercise. ],,03 Jan 2014,2014-01-03
96,[ HK needs control of its immigration... ],,03 Jan 2014,2014-01-03
97,Astounding to deny that climate change is caused by humans,,03 Jan 2014,2014-01-03
72,Balloonist crashesduring bid to land on disputed islets Japanese coastguard plucks protester from sea before handing him over to Chinese patrol ship,"Piao, Vanessa.",03 Jan 2014,2014-01-03
70,Reportersdenied access to legal papers High Court registry ban means documents concerning criminal cases are withheld,,03 Jan 2014,2014-01-03
50,Cheung Kong woos Diva buyers with discounts,"Liu, Yvonne.",03 Jan 2014,2014-01-03
46,"[ One ticket won the first prize of HK$51,516,650 in last night's draw. ]",,03 Jan 2014,2014-01-03
47,[ Support for CY edges up at year's end... ],,03 Jan 2014,2014-01-03
48,[ Xi article may be part of charm offensive... ],,03 Jan 2014,2014-01-03
49,Cash boost for bosses to attract new bloodSubsidies proposal to end shortage of skilled labour Proposal for subsidies to help industries hit by a shortage of skilled labour bring in trainees set to be outlined in chief executive's policy address,"Wong, Olga.",03 Jan 2014,2014-01-03
51,Drugs industry smashed in village of crystal meth Massive crackdown on community near Lufeng ends in seizure of 3 tonnes of Ice and 182 arrests,He Huifeng.,03 Jan 2014,2014-01-03
52,Festive favourites,,03 Jan 2014,2014-01-03
53,"Gambling revenues in Macau increase 18 pc Spike in number of mainland visitors widens the city's lead over Las Vegas, cementing its place as the gambling capital of the world","Yu, Sophie.",03 Jan 2014,2014-01-03
92,Scientistsquietly getready forMars trip Tibetan Plateau scouted as potential proving ground for rover technology as country mulls probe to Red Planet in as few as four years,"Chen, Stephen.",03 Jan 2014,2014-01-03
57,Jaw operation gives hope to Manila siege survivor,"Chung, Lawrence.",03 Jan 2014,2014-01-03
91,[ Teacher detention upheld... ],Name Name.,03 Jan 2014,2014-01-03
76,Low rally turnout 'not a sign of burnout',"Cheung, Gary; Lam, Jeffie.",03 Jan 2014,2014-01-03
89,Mainlanders getfirst look at newSherlock season,"Blum, Jeremy.",03 Jan 2014,2014-01-03
54,"Hang Seng Index knocked by poor mainland data City's share market starts 2014 badly, with some analysts expecting it to underperform this year","Yu, Jeanny; Kanis, Li.",03 Jan 2014,2014-01-03
84,'Mad Phoenix' set to rise from the ashes once more Acclaimed play coming to traditional theatre in West Kowloon after successful run last year,"Tang, Edward.",03 Jan 2014,2014-01-03
85,Brands' new idea brings royal recipes to Hong Kong,"Lo, Wei.",03 Jan 2014,2014-01-03
73,Bogus bills seized may be 'made in China' High-quality fakes found in city believed to have been printed on the mainland,"Lo, Clifford.",03 Jan 2014,2014-01-03
74,China CNR mulls Hong Kong IPO Cash-strapped mainland rail giant may try to raise HK$11.3 billion in a local flotation this year,Toh Han Shih.,03 Jan 2014,2014-01-03
75,"Henderson, SHKP close in on hefty loan deals","Moiseiwitsch, Jasper.",03 Jan 2014,2014-01-03
77,"Mainland approves new firms for IPO s Fresh batch of IPO hopefuls are cleared for listing on mainland, bringing to 11 the total number ready to launch on to markets","Ren, Daniel.",03 Jan 2014,2014-01-03
78,"New rules on Legco's 'secret tunnel' Emergency exit used to evade protesters will stay in place, with guidelines to cover its use","Lam, Jeffie.",03 Jan 2014,2014-01-03
79,"Octopus users get free rides after glitch Latest technical problem allows 9,000 to enjoy benefit meant for bus firms' staff","Chan, Samuel.",03 Jan 2014,2014-01-03
80,Pair jailed for kicking cat like a ball,"Chan, Thomas.",03 Jan 2014,2014-01-03
81,"Police, FBI probe arson attack at Chinese consulate","Ng, Teddy.",03 Jan 2014,2014-01-03
82,Post tops survey on newspaper credibility Chinese University study shows readers retain strong trust in some media - including the Post and RTHK - even as overall rating falls,,03 Jan 2014,2014-01-03
83,Two months in prison for dog poisoner,"Chan, Thomas.",03 Jan 2014,2014-01-03
86,"Festive flower and fruit prices up Retailers blame a strong yuan, cold weather and growing costs for higher price of tangerines, peach blossoms and orchids","Cheung, Carol; Nip, Amy.",03 Jan 2014,2014-01-03
99,Stubbing out a bad habit,,03 Jan 2014,2014-01-03
87,Scholarism activist starts legal bid after 'eviction' from National Day event,"Chiu, Austin.",03 Jan 2014,2014-01-03
88,Xiaomi enters Singapore phone market Mainland firm makes move as part of continuing international expansion,"Perez, Bien.",03 Jan 2014,2014-01-03
90,"Media trumpets Xi's 'humble roots' Article praising president's work as lowly provincial official may form part of publicity campaign to show he has common touch, analysts say","Zhang, Hong.",03 Jan 2014,2014-01-03
55,Heart transplant makes history Doctors from Queen Mary Hospital perform Hong Kong's first successful transplant on a patient fighting for his life after an acute heart attack,"Lo, Wei.",03 Jan 2014,2014-01-03
65,"[ NEWS (Section A): Leading the News A3 , Focus A4 ,... ]",,03 Jan 2014,2014-01-03
58,Luxury Stanley flats raided in latest burglaries,"Lo, Clifford.",03 Jan 2014,2014-01-03
56,"Henderson, SHKP close in on hefty loan deals","Moiseiwitsch, Jasper.",03 Jan 2014,2014-01-03
98,Solving problem close to home,,03 Jan 2014,2014-01-03
67,Courts should make more documents public: scholar Media law expert says people have a right of access to information and the city's judicial system lags behind others by withholding court papers,"Chiu, Austin.",03 Jan 2014,2014-01-03
66,Apartment blaze,"Lo, Clifford.",03 Jan 2014,2014-01-03
64,[ More announcements... ],,03 Jan 2014,2014-01-03
68,Ex-bankers bring P2P lending to HK WeLab aims to replicate the overseas success of peer-to-peer online platforms in the city,"Robertson, Benjamin.",03 Jan 2014,2014-01-03
62,[ January 6 AGM: Yueshou Environmental Holdings... ],,03 Jan 2014,2014-01-03
61,[ Cheung Kong B1... ],,03 Jan 2014,2014-01-03
60,Telecoms firm blamedfor online voting problem Pollster says system errors meant a number of people couldn't cast votes in reform survey,"Siu, Phila.",03 Jan 2014,2014-01-03
59,Reverend set to assume role of Occupy leader,"Cheung, Tony.",03 Jan 2014,2014-01-03
69,"High rates send a warning signal Wealth management products with returns of up to 10 per cent are a boon for investors, but represent systemic problems at China's banks","Cai, Jane.",03 Jan 2014,2014-01-03
63,"[ Monday, January 13: British Chamber of Commerce lunch with Alderman Woolf, the Lord Mayor of the City of London. ]",,03 Jan 2014,2014-01-03
161,We can now see health damage,,04 Jan 2014,2014-01-04
100,64 held in milk-formula smuggling crackdown Customs step up enforcement of two-tin limit ahead of Lunar New Year holiday,"Tam, Johnny.",04 Jan 2014,2014-01-04
162,WHAT'S NEXTAre you bankable?,,04 Jan 2014,2014-01-04
163,Boshe raid leaves mark,,04 Jan 2014,2014-01-04
132,Li's Power Assets readies sales pitch for spin-off,"Ng, Eric.",04 Jan 2014,2014-01-04
131,Kerry offers 15.8pc off for units at The Summa The incentive for the Sai Ying Pun project includes a stamp duty subsidy worth 8.5pc,"Li, Sandy.",04 Jan 2014,2014-01-04
158,[ Stamp of disapproval. ],,04 Jan 2014,2014-01-04
129,"Drug den villagers wary after big raid Signs of massive police action to bring down crystal meth ring are evident, but people plead ignorance of trade that has blighted the area",He Huifeng.,04 Jan 2014,2014-01-04
