,title,byline,dates,datetime
8354,Struggling ATV axes flagship news show Good Morning Asia: Good Morning Asia could be the first of many casualties as broadcaster struggles to balance its licence obligations with its staffing costs,"Lam, Jeffie; Lau, Stuart.",1-Jan-15,2015-01-01
8327,"SCMP leaders of the year, Xi Jinping and Pope Francis, are men who show true courage",,1-Jan-15,2015-01-01
8326,Xi Jinping's visit to Macau was not cause for celebration,,1-Jan-15,2015-01-01
8325,BASKETBALL,,1-Jan-15,2015-01-01
8324,More SOE mergers expected,,1-Jan-15,2015-01-01
8323,Poor finishing lets Hong Kong down,Chan Kin-wa.,1-Jan-15,2015-01-01
8355,"Power bills, parking fees and theme parks cost more but HK inflation set to slow in 2015","Nip, Amy.",1-Jan-15,2015-01-01
8356,"Housing is the biggest worry for Hong Kong's poorest children, survey finds: Youngsters in the city are most concerned about housing, education and health care, survey finds","Ngo, Jennifer.",1-Jan-15,2015-01-01
8357,"Housing is biggest worry for our poorest children, survey finds: Youngsters in the city are most concerned about housing, education and health care, survey finds","Ngo, Jennifer.",1-Jan-15,2015-01-01
8358,"Hong Kong's disabled people twice as likely to face poverty, study finds","Ngo, Jennifer.",1-Jan-15,2015-01-01
8353,"Erwiana's boss 'apologised to previous maid for assaulting her': Police officer tells trial of Erwiana's employer that the defendant said sorry to one of her three alleged victims, who chose not to pursue case","Lau, Chris.",1-Jan-15,2015-01-01
8360,ATV faces legal action over unpaid wages: Labour Department prosecutes over September delay as station axes flagship news show amid threats from staff to quit if they don't get paid,"Lau, Stuart; Lam, Jeffie; Chow, Vivienne.",1-Jan-15,2015-01-01
8361,Former liquidator's account of Carrian scandal brings key personalities to life,"Robertson, Benjamin.",1-Jan-15,2015-01-01
8362,PBOC vows to fine tune policy as Chinese factory activity slows: PMI index contraction latest challenge as Beijing contends with deflation and property slump,"Ruan, Victoria.",1-Jan-15,2015-01-01
8363,"China news in brief, January 1, 2015",,1-Jan-15,2015-01-01
8364,Airlines on edge after China Southern executives sacked in graft probe: Firing of China Southern executives raises questions about wider impact,"Jiang, Sijia.",1-Jan-15,2015-01-01
8365,Slower China GDP growth in 2015 seen accelerating reform: Larger economy and expansion of more job-intensive services sector are key factors in generating employment despite lower GDP growth target,"Ruan, Victoria.",1-Jan-15,2015-01-01
8366,results,,1-Jan-15,2015-01-01
8367,events,,1-Jan-15,2015-01-01
8368,Chart of the day: China stock divergence deepens,,1-Jan-15,2015-01-01
8369,"RIP Ronald Li, you did much more good for Hong Kong than harm","van der Kamp, Jake.",1-Jan-15,2015-01-01
8370,Meadowbrook deal sees Fosun end year as one of China's top dealmakers: Purchase of US-based Meadowbrook Insurance adds to conglomerate's credentials as one of the mainland's most ambitious global dealmakers,"Toh Han Shih; Man-ki, Kwong.",1-Jan-15,2015-01-01
8328,"News in Brief, January 1, 2015",,1-Jan-15,2015-01-01
8329,"Letters Question, January 01, 2015",,1-Jan-15,2015-01-01
8359,"City Digest for January 1, 2015",,1-Jan-15,2015-01-01
8331,Reshuffle of leading PLA officers continues,"Li, Jing.",1-Jan-15,2015-01-01
8330,"For health's sake, end sales of live poultry",,1-Jan-15,2015-01-01
8352,Health chief just needs a good night's sleep,,1-Jan-15,2015-01-01
8351,Morgan's Journey,,1-Jan-15,2015-01-01
8350,The Planner,,1-Jan-15,2015-01-01
8349,PBOC vows to fine-tune policy as Chinese factory activity slows: PMI index contraction latest challenge as Beijing contends with deflation and property slump[1],"Ruan, Victoria.",1-Jan-15,2015-01-01
8348,"Letters to the Editor, January 01, 2015",,1-Jan-15,2015-01-01
8346,"Who Said It? January 1, 2015",,1-Jan-15,2015-01-01
