,title,byline,dates,datetime,kw-China,kw-Ma
0,"Without Beijing's patronage, HK would be just another city",Anonymous.,01 Jan 2010,2010-01-01,False,False
36,Right medicine. [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
37,MICHAEL GEOGHEGAN,Anonymous.,01 Jan 2010,2010-01-01,False,False
38,How 2010's safest bets could turn sour on you,with Tom Holland tom.holland@scmp.com.,01 Jan 2010,2010-01-01,False,False
39,This year will be critical if the central government [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
40,No other event defined the mainland's press better last year [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,True
41,The mainland has made startling advances in science and technology in recent years [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,True
42,The economic outlook for the coming year is greatly improved on the past 12 months [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
43,Cross-strait relations are likely to remain warn this year [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,True
44,The central government was heavily criticised for human rights violations [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,True
45,"Seen from the outside, Hong Kong appears to be all luxury [Derived headline]",Anonymous.,01 Jan 2010,2010-01-01,False,False
47,Hong Kong will be hard pressed to give sports fans a repeat showing of 2009 [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
48,Hong Kong weathered the financial chaos [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
49,Hong Kong saw little progress this year [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
50,"Bubbles burst, faith tested, answers wanting",Anonymous.,01 Jan 2010,2010-01-01,False,False
35,Single mum left infants home alone,"Nip, Amy.",01 Jan 2010,2010-01-01,False,False
51,After a long wait and much debate [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
53,Weekly Calendar,Events.,01 Jan 2010,2010-01-01,False,False
54,Yantai Raffles minority shareholders reject offer,Toh Han Shih.,01 Jan 2010,2010-01-01,False,False
55,[Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
56,Achieving higher property prices could be a big challenge [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
57,Beef import row strains US ties with Taiwan Trade likely to suffer due to dispute,Lawrence Chung in Taipei.,01 Jan 2010,2010-01-01,False,False
58,China wants to lead the world in creating a green vehicle industry [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
59,'Living Buddha' jailed on firearms charge,Kristine Kwok in Beijing.,01 Jan 2010,2010-01-01,False,False
60,Earnings at mainland power producers will continue to face pressure [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,True
61,How to retain Hong Kong's reputation [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
62,One of the challenges the banking sector faces in 2010 is the risk of capital outflow [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
63,"The ports of China and Hong Kong, battered by the economic downturn [Derived headline]",Anonymous.,01 Jan 2010,2010-01-01,False,False
64,The worst of the global financial crisis appears to have receded [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
65,"Companies brace for tough year when any profits will be prized Even the optimists aren't predicting a sharp rebound in 2010. At best they expect a slog towards profitability; at worst, more red ink, write Business reporters",Anonymous.,01 Jan 2010,2010-01-01,False,False
66,Xinhua challenges CCTV with launch of worldwide TV network,"Li, Raymond.",01 Jan 2010,2010-01-01,False,False
52,"greener and fairer world Prospects look brighter for 2010 as the spectre of the global financial crisis recedes Hopes high for a wealthier,",Anonymous.,01 Jan 2010,2010-01-01,False,False
34,Table of Contents,Anonymous.,01 Jan 2010,2010-01-01,False,False
46,One of the challenges the banking sector faces in 2010 is the risk of capital outflow [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
32,Rehab school fears exams shutout,"But, Joshua; Yau, Elaine.",01 Jan 2010,2010-01-01,False,False
14,"Santa's campaign ends on a high With cash still rolling in, fund-raising drive is well passed its HK$8 million target","Kadison, Dan; Wan, Adrian.",01 Jan 2010,2010-01-01,False,False
13,"Shanghai, Guangzhou move to cool red-hot property market","Sito, Peggy.",01 Jan 2010,2010-01-01,False,True
12,Sign of the times. [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
11,Trade,Anonymous.,01 Jan 2010,2010-01-01,False,False
10,Two out to join free-TV marketTwo firms aiming to break 30-year free-to-air TV duopoly,"Eng, Dennis; But, Joshua; Tsang, Phyllis.",01 Jan 2010,2010-01-01,False,True
9,Accused [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
15,Lover who took out frustrations on baby jailed 3 years,"Man, Joyce.",01 Jan 2010,2010-01-01,False,False
8,Activist's jailing may boost march turnout,"Wong, Albert.",01 Jan 2010,2010-01-01,False,True
6,Drink-drive party crawl to a gourmand's delight,Anonymous.,01 Jan 2010,2010-01-01,False,True
5,Feel-good factor boosted by market rally,"Fox, Yi Hu.",01 Jan 2010,2010-01-01,False,True
33,Shipping cartel's 'forced shortage' hurts recovery [Derived headline],Anonymous.,01 Jan 2010,2010-01-01,False,False
3,Hang Seng's 52pc gain best for a decade,"Steger, Isabella.",01 Jan 2010,2010-01-01,False,False
2,In Brief,Anonymous.,01 Jan 2010,2010-01-01,False,False
1,In Brief: [1],Anonymous.,01 Jan 2010,2010-01-01,False,False
7,Ad hoc ID checks an option for rail link,"Lam, Anita.",01 Jan 2010,2010-01-01,False,False
16,Rusal warns investors it could go bust Price risks for HK listing candidate,"Winn, Howard.",01 Jan 2010,2010-01-01,False,False
4,Football coach assaulted cabbie and policeman,"Carney, John.",01 Jan 2010,2010-01-01,False,True
18,NEWS SECTION A scmp.com today CITY.LIFE.SPORT SECTION C BUSINESS SECTION B,Anonymous.,01 Jan 2010,2010-01-01,False,False
17,Ruined wetlands area still in illegal use Ruined wetlands area used illegally,"Ng, Joyce.",01 Jan 2010,2010-01-01,False,False
31,"Rusal eyes HK$20b as listing document is filed Aluminium giant's losses, a lawsuit and huge debts revealed","Winn, Howard.",01 Jan 2010,2010-01-01,False,False
29,Accident,Anonymous.,01 Jan 2010,2010-01-01,False,False
28,City,Anonymous.,01 Jan 2010,2010-01-01,False,False
27,Economy,Anonymous.,01 Jan 2010,2010-01-01,False,False
26,Economy: [1],Anonymous.,01 Jan 2010,2010-01-01,False,False
25,Father's plight showsabuse the elderly face,"Chan, Kobi; Wong, Martin.",01 Jan 2010,2010-01-01,False,False
30,4 foreigners may face death after heroin find in Shenzhen4 foreigners may face death after heroin find in Shenzhen,"Tam, Fiona; He Huifeng.",01 Jan 2010,2010-01-01,False,True
23,Four Shenhua unit officials held in sex scandal,"Ng, Eric.",01 Jan 2010,2010-01-01,False,False
22,Fraud,Anonymous.,01 Jan 2010,2010-01-01,False,False
21,International,Anonymous.,01 Jan 2010,2010-01-01,False,False
20,Monitor,Anonymous.,01 Jan 2010,2010-01-01,False,False
24,Finance,Anonymous.,01 Jan 2010,2010-01-01,False,False
19,National,Anonymous.,01 Jan 2010,2010-01-01,False,False
105,Police investigate mainland officers' behaviour at Lo Wu rally,"Tsang, Phyllis.",02 Jan 2010,2010-01-02,False,True
104,Rural leaders laggards when it comes to committee meetings,Fanny W.Y. Fung.,02 Jan 2010,2010-01-02,False,False
103,Shaolin Temple denies it will go public as part of travel venture,"Sun, Celine; Agence France-Presse.",02 Jan 2010,2010-01-02,False,False
102,"Tsang is failing us, children say Poll of young people gives government poor marks across the board","Yau, Elaine.",02 Jan 2010,2010-01-02,False,True
99,Seeking a way to curb village officials' power,"Zhai, Ivan.",02 Jan 2010,2010-01-02,False,False
100,Beijing - Movie director jailed over drugs [Derived headline],Anonymous.,02 Jan 2010,2010-01-02,False,False
98,Crystal ball says it's back to the future,with Shirley Yam.,02 Jan 2010,2010-01-02,False,False
97,Even Premier Wen does not deny reality of climate change,Anonymous.,02 Jan 2010,2010-01-02,False,True
106,"Reading between Hu's lines, ambiguity is key",Shi Jiangtao in Beijing.,02 Jan 2010,2010-01-02,False,False
96,More transparency needed for insurers,Anonymous.,02 Jan 2010,2010-01-02,False,False
101,Apple accused of censoring 'sensitive' iPhone applications,Staff Reporter; Agence France-Presse.,02 Jan 2010,2010-01-02,False,False
107,In Brief,Anonymous.,02 Jan 2010,2010-01-02,False,False
114,Events,Anonymous.,02 Jan 2010,2010-01-02,False,False
109,In Brief,Anonymous.,02 Jan 2010,2010-01-02,False,False
110,Lawyers fear mediation will curb business,"Lam, Anita.",02 Jan 2010,2010-01-02,False,False
111,Manufacturing expands on strong demand,"Li, Sandy.",02 Jan 2010,2010-01-02,False,True
112,Microsoft targets smaller firms with cloud strategy,"Perez, Bien.",02 Jan 2010,2010-01-02,False,True
113,"Nobel laureate, Tsangtop poll of quotes","Kang-chung, Ng.",02 Jan 2010,2010-01-02,False,False
115,Police nab suspected ringleader of mainland prostitutes,"Chi-fai, Cheung.",02 Jan 2010,2010-01-02,False,True
116,Telegraph Bay best place for barging point [Derived headline],Anonymous.,02 Jan 2010,2010-01-02,False,False
117,Quotes of the Week,Anonymous.,02 Jan 2010,2010-01-02,False,False
118,Table of Contents,Anonymous.,02 Jan 2010,2010-01-02,False,False
119,Obama's front man on climate change policy carries hopes for a green world on shoulders,Anonymous.,02 Jan 2010,2010-01-02,False,True
95,No backing,Anonymous.,02 Jan 2010,2010-01-02,False,False
108,"Multitudes march for universal suffrage Tense scenes as 30,000 air their grievances at central government liaison office","Wong, Albert; Wu, Eva.",02 Jan 2010,2010-01-02,False,True
