,title,byline,dates
0,"Addict bashes, pushes two friends out window",,08 June 2012
1,"Bank rates cut for first timein four years Surprise Beijing announcement confirms fears over hard landing for economy, but also opens the way to giving banks more flexibility on interest charges","Tsang, Denise; Chen, Lulu; Lam, Anita.",08 June 2012
2,Blueprint for improving mainland mental health,,08 June 2012
3,"CCB set to integrateits hk operations CCB Asiaand CCB's Hong Kong branch to be merged as part of bank's strategy to boost overseas business and avoid internal competition, says president","Chen, Lulu.",08 June 2012
4,Fire-fight fisherman hero feared dead,"Lo, Clifford.",08 June 2012
5,Hontex fails to stop SFC from seeking refund order,"Yiu, Enoch.",08 June 2012
6,"I.O.C. asked to act oni-Cable deal Hong Kong Olympic Committee told international board about stalled talks on TV coverage, but it makes no comment on intervention or future moves","Chi-fai, Cheung.",08 June 2012
7,LinkedIn apologises for security breach,Simpson Cheung andAgence France-Presse.,08 June 2012
8,Mainland funds tipped to keep flooding Europe Research group expects companies to pour US$25ba year into euro zone despite fears about its fate,"Tsang, Denise.",08 June 2012
9,"Most CSSA recipients can't afford basic necessities Many too poor to buy fresh fruit to eat at least once a week or feel unsafe where they live, study finds","Lo, Wei.",08 June 2012
10,"Party polls 370 members on choice of top leaders Party polls 370 members on choice of top leaders Experimental ballot may well influence how future succession processes are conducted, insiders say",Cary Huang in Beijing cary.huang@ scmp.com.,08 June 2012
11,"Tourist taken on wild, 40km ride in stolen taxi","Lau, Stuart.",08 June 2012
12,Chinese Estates shares fall after resuming trading,"Li, Sandy.",08 June 2012
13,Exhibition duo makea date with the dolls,"Lanyon, Charley.",08 June 2012
14,French Chamber Gala Dinner takes wings of desire and gowns of elegance at Grand Hyatt,"Chen, Vivian.",08 June 2012
15,"Hysan Place driving up rents in Causeway Bay Lease rates expected to double for certain shops in surrounding streets when complex, scheduled for completion in August, opens","Leung, Paggie; Che, Angela.",08 June 2012
16,Illegal works detected on bridge Mainland side of Hong Kong-Macau bridge project already marred by illegal construction,Toh Han Shih hanshih.toh@scmp.com.,08 June 2012
17,Lawmakers deny HK$28mreport was waste of money,"Cheung, Tony.",08 June 2012
18,Lehman criticism played down Legislature panel chief says John Tsang and Chan Ka-Keung should not be held politically accountable for the investment debacle in 2008,"Chong, Dennis; Lee, Ada.",08 June 2012
19,Let's wager on the fate of the planet,"Lo, Alex.",08 June 2012
