,title,byline,dates
0,"'Act now to meet new security measures' Industry can gain competitive edge by quickly addressing problems that new cargo shipping regulations pose, financial secretary says","Lau, Stuart.",28 Jan 2013
1,'Privacy law will breed corruption' Journalists' union launches ad campaign against new rules to block details of company directors,"Lau, Stuart.",28 Jan 2013
2,Analysts warn investors over rush into bonds Market experts surprised at numbers piling into debt issues despite record-low yields,"Yu, Jeanny.",28 Jan 2013
3,"Critics attack CY's committee plan Chief executive's elite middlemen idea ignores public's engagement in politics, say observers","Kang-chung, Ng.",28 Jan 2013
4,"Mainland industry set for profit recovery After slowing last year, mainland industrial profits are expected to stage a resurgence, helped by lower cost growth and higher output",Victoria Ruan in Beijing victoria.ruan@scmp.com.,28 Jan 2013
5,Mainlanders held over lunchtime brawl [Derived headline],,28 Jan 2013
6,Nightclub horror,,28 Jan 2013
7,Pop star's welcoming jingle hits a sour note when it comes to unwanted visitors HK can't be expected to smile and stretch out its hand to the hordes of parallel traders,"Tam, Tammy.",28 Jan 2013
8,"SHANGHAIFREE-TRADE ZONE PLAN REVEALED As acting mayor announces expansion of city's bonded areas, analysts say Hong Kong could face serious competition as top trading hub","Yan, Alice; Yiu, Enoch.",28 Jan 2013
9,"US and China both have roles to play: Suu KyiUS, China both have roles to play: Suu Kyi",George Chen in Honolulu george.chen@scmp.com.,28 Jan 2013
10,Watching over them,,28 Jan 2013
11,'Like' it - then say it - with macarons at the Grand Hyatt Hong Kong's Valentine's Day,"Yung, Vanessa.",28 Jan 2013
12,Designer Nancy Gonzalez empowers HK with debut store opening,"Yung, Vanessa.",28 Jan 2013
13,From furry friends to Aristopets Some pampered pets are becoming so much part of the family that they are being left money in wills to ensure their care when owners die,"Moy, Patsy.",28 Jan 2013
14,HK gold dealers see opportunity in European shiftDealers see opportunity in Europe's gold shift Central banks repatriating their reserves could find safe storage at Chek Lap Kok depository,"Yiu, Enoch.",28 Jan 2013
15,Insurers claim victory in fight for MPF switchers The sales forces of the insurance companies appear to be winning against the banks after MPF rule changes,"Yiu, Enoch.",28 Jan 2013
16,MY TAKE Small-house moves worthy of Machiavelli,"Lo, Alex.",28 Jan 2013
17,Shanghai Ballet is yetto show its true style,"Rogai, Natasha.",28 Jan 2013
18,Soo swaps eveningwear for 'brunch glam' with daywear collaboration,"Lanyon, Charley.",28 Jan 2013
