,title,byline,dates
0,"[ Countries Edward Snowden has reportedly newly sought asylum in, and the status of the applications, where known... ]",,03 July 2013
1,[ Hackers steal staff and student details... ],,03 July 2013
2,[ Judge sees excessive meddling in courts... ],,03 July 2013
3,[ On the market P4... ],,03 July 2013
4,"[ Point of sale Price: HK$3.82 million Size: 363 sq ft of saleable area Where: Sunshine City, Ma On Shan . ]",,03 July 2013
5,[ There were no first prize winners of last night's draw. ],,03 July 2013
6,"Beijing is urged to heed marchers Powerful demand for universal suffrage should not be missed amid the debate over how many people took part, warns expert on HK affairs","Cheung, Gary; Tsang, Emily.",03 July 2013
7,Boy beaten and buried alive for 2 days Six-year-old freed after midnight arrest of teenage suspect leads them to concrete tomb,"Lo, Clifford.",03 July 2013
8,Cautious bidding likelyfor Tseung Kwan O site,"Liu, Yvonne.",03 July 2013
9,"Curbs on flat prices hit furniture sales Sales of furnishings, fixtures fall for third month in a row in May amid slump in property deals","Lam, Anita.",03 July 2013
10,Lure of the good life in islands' garden of Eden Introduction of Seychelles flights has made Indian Ocean country attractive to Chinese,"Leung, Paggie.",03 July 2013
11,Nightmare as wife's designer shoes take a walk,"Lo, Clifford.",03 July 2013
12,Small players bear brunt of squeeze,"Li, Sandy.",03 July 2013
13,Snowden asks 19 more countriesto take him inSnowden asks 19 countries for asylum But leaker's chances of finding a way out of Moscow airport are grim as leaders shun him,"Lam, Lana; Wan, Adrian; Lee, Danny.",03 July 2013
14,Urgent call to prevent deathtraps Coroner tells officials to take the initiative to avoid another deadly blaze after the four deaths in the 2011 To Kwa Wan fire are ruled accidental,"Chan, Thomas.",03 July 2013
15,Waste recyclers may get subsidies in policy overhaul New committee will be tasked with rethinking rubbish management as trash crisis looms,"Chi-fai, Cheung.",03 July 2013
16,[ Agricultural Bank B2... ],,03 July 2013
17,[ I left Hong Kong after... ],,03 July 2013
18,"[ NEWS (Section A): Leading the News A4 , Focus A4 , China A5-8 , Asia A9 , World A10-13 , Opinion A14 , Insight A15... ]",,03 July 2013
19,[ Pakistan's new PM visits China... ],,03 July 2013
20,[ Sinosoft Technology B4... ],,03 July 2013
21,[ Today AGM: EPI (Holdings)... ],,03 July 2013
22,"[ Today: British Chamber of Commerce breakfast: ""Finding a roadmap to reduce Hong Kong's air pollution"". ]",,03 July 2013
23,Arbitration builds on progress in Asia Kent Phillips and Roger Milburn of Berwin Leighton Paisner discuss changes to international arbitration in the region,"Phillips, Kent; Milburn, Roger.",03 July 2013
24,Gold drives 15pc surge in revenueat APM mall Jewellery stores see strong first-half returns as price of precious metal plunges,"Li, Sandy.",03 July 2013
25,Lenders tighten credit card curbs Customers with bad debts will see fund limits cut or accounts terminated under reforms imposed by Monetary Authority,"Kanis, Li.",03 July 2013
26,MY TAKEDemocracy comes with no guarantees,"Lo, Alex.",03 July 2013
27,"Neighbour was killed after sex, court told Music teacher on trial for murder of woman whose body was found in park","Chiu, Austin.",03 July 2013
28,The psychology of luxury sales Head of new high-end residential section at Knight Frank says how the client thinks can be as important as the property itself,"Leung, Paggie.",03 July 2013
29,Shangri-la cuts waste by giving food to the needy The luxury hotel's banquet leftovers are donated to charity or turned into fish feed,"Yiu, Enoch.",03 July 2013
30,Warning: chopsticksare at breaking point Restaurateur says business is feeling the squeeze already and fears what more labour regulations could do to the industry,"Siu, Phila.",03 July 2013
31,Baby formula firms probed for inflating prices Watchdog investigates milk suppliers for breach of anti-monopoly law; prices up 30pc in 5 years,"Zhai, Keith; Zuo, Mandy.",03 July 2013
32,"Don't let feelings sway you, jury told Judge reminds panel to stay impartial ahead of judgment in Nina Wang will forgery case","Chiu, Austin.",03 July 2013
33,"Dual-currency IPO s on the way, says P wC After a freeze lasting eight months, Hong Kong's growing yuan deposit pool looks likely to help spark a revival of yuan-denominated IPOs","Yu, Jeanny.",03 July 2013
34,Free tickets to concert spark questions,"Chow, Vivienne; Ng, Joyce.",03 July 2013
35,"Knives are out in Xinjiang, say police Explosives and separatist propaganda on banned list too amid crackdown after recent violence; rewards offered for tips on militants","Li, Jing.",03 July 2013
36,"New CIC boss faces greater challengesNew sovereign fund chief taking on tougher job Ding Xuedong, recently tapped to lead the mainland's sovereign wealth fund, will be under more scrutiny than his predecessor","Chen, George.",03 July 2013
37,"Occupy Central set to top donations list Civil disobedience movement proves to be the main draw on July 1, going by the HK$800,000 it collected out of pan-democrats' HK$3 million","But, Joshua; Tsang, Emily.",03 July 2013
38,Queue jumpers were warned of 'tough action' Watchdog says consensus reached earlier to stop marchers from cutting in,"Tam, Johnny; But, Joshua.",03 July 2013
39,Silver Base switches tack after plunge into the red,"Butt, Rachel.",03 July 2013
40,"Solar operator Jun Yang takes a side bet on coal Need for stable profit prompts purchase of 25.7pc of Sanjili in 'win-win' deal, president says","Ng, Eric.",03 July 2013
41,Tencentsteps upappealfor apps 'Open platform' initiatives are aimed at maximising gains from developer partnerships,"Perez, Bien.",03 July 2013
42,"[ La Hacienda, The Peak... ]",,03 July 2013
43,"[ Q: I began renting a three-bedroom flat at Bel-Air in Cyberport with a car parking space for about HK$60,000 a month two years ago. ]",,03 July 2013
44,"Here's looking at brew, kid",,03 July 2013
45,"HK$450 m to sponsor torture claimants Government reveals plans for an improved system to handle asylum seekers' claims, as well as more legal and financial aid for them","Lo, Wei.",03 July 2013
