,title,byline,dates
0,Boost for environment if new laws followed,,1-May-14
1,Dozens injured in blast outside main railway station in Urumqi: Explosionoutsiderailway station in Xinjiang capital follows vow by President Xi Jinping to crack down on terrorism in tour of the region,"Li, Jing.",1-May-14
2,Three killed as explosion rocks Urumqi train station: Dozens moreare injured in the blast in Xinjiang capital after President Xi Jinping vows to fight terrorism during high-profile visit to region,"Li, Jing.",1-May-14
3,Chinese censors miss mark on television shows,"Lo, Alex.",1-May-14
4,"Talking Points, May 1, 2014",,1-May-14
5,"Who Said It? May 1, 2014",,1-May-14
6,Another Hong Kong MTR manager quits amid controversy over rail link delay,"Lee, Ada; Chan, Samuel.",1-May-14
7,Beijing eyes new regional free-trade deal as US-led pact falters: Talks under way on regional pact after Obama failed to make headway on a US-led agreement,"Kwok, Kristine.",1-May-14
8,Hongkongers No 4 in world in material well-being: World Bank study also shows China closing in on US as the world's largest economy,"Tsang, Denise.",1-May-14
9,"Rise of drug-resistant superbugs a global emergency, says WHO: Rising resistanceto antibiotics in China and elsewhere means that common infections could once again become killers, warns WHO","Wang, Jeanette.",1-May-14
10,"Factory fire wounds: They arethe victimsof China's manufacturing boom, migrant workers injured in a string of blazes at factories that were little more than traps","Zuo, Mandy.",1-May-14
11,Real pay marching backwards for many workers in Hong Kong,"Siu, Phila.",1-May-14
12,100 years of fortitude,,1-May-14
13,"Amended green law given mixed review: The revisedstatuteenhances the regulator's powers and holds local officials accountable, but limits public participation in the process","Li, Jing.",1-May-14
14,"China Digest, May 1, 2014",,1-May-14
15,"China news in brief, May 1, 2014",,1-May-14
16,"China, Russia to hold joint naval drill in politically sensitive East China Sea: Decision to stage exercise in East China Sea may be a way of showing displeasure at US policies","Chan, Minnie.",1-May-14
17,Local Officials face discipline for allowing construction of now-demolished Sanjiang Church in Wenzhou,"Wu, Nan.",1-May-14
18,More Shanxi officials investigated for corruption: A former mayor among the latest accused in wide-ranging probes in coal-producing province,"Zhang, Hong.",1-May-14
19,Premier's Africa trip 'not just about oil',,1-May-14
20,"97-year-old has never missed an Indian election: Shyam Negi voted in country's first poll in 1951, and plans to do so again as 16th gets under way","Dhillon, Amrit.",1-May-14
21,Labour rights still a work in progress,,1-May-14
22,"Letters Question, May 01, 2014",,1-May-14
23,"Letters to the Editor, May 01, 2014",,1-May-14
24,Officials have failed to convince public about merits of incinerator,,1-May-14
25,"Protests over, Taiwan must now have a rational debate on source of power",,1-May-14
26,Nu Skin urges mainland government to reform rules on direct selling,"Ren, Daniel.",1-May-14
27,Rich are easy target but tax offensive won't help the poor,"van der Kamp, Jake.",1-May-14
28,Temasek and RRJ Capital to invest HK$13.6b in ING unit: Temasek and RRJ Capitaltarget growth markets in Europe with stake deals in Dutch group's insurance unit that is expected to be spun off,Toh Han Shih.,1-May-14
29,China bond market bounces back: Developers are preparing deals again after Zhejiang Xingrun's default rattled nerves,"Moiseiwitsch, Jasper.",1-May-14
30,events,,1-May-14
31,Banks take heat over WH Group's failed flotation: Mainland pork producersays the record 29 bookrunners to blame for collapse of share offering because of poor communications,"Chan, Ray; George Chen and.",1-May-14
32,Lenovo primed for new acquisitions after bond issue: Mainland computer maker adds US$1.5 billion to acquisition war chest after bond market debut,"Perez, Bien.",1-May-14
33,Mainland infrastructure reform plan news sees shares rally,"Yu, Sophie; Perez, Bien.",1-May-14
34,Microsoft starts 'game console war' on the mainland: Launch of Xbox One may bring in big-name rivals Sony and Nintendo as sales ban is lifted,"Perez, Bien.",1-May-14
35,"Rogue bankers are not criminals, says trader who lost US$1.1b",,1-May-14
36,"Injuries on dead Lantau cows 'not consistent with car', hears court","Lo, Wei.",1-May-14
37,"Lift job ban on fired maids, Manila labour attache in HK says: Labour attache joins calls to ease rules on helpers as a report reveals exploitation","Siu, Phila.",1-May-14
38,Scholars find 15 plans for 2017 poll that meet international standards: International academicsbrought in by Occupy Central filter out ideas that fail to meet international standards for democracy ahead of vote,"Lam, Jeffie.",1-May-14
39,Suicide suspected in death of judge's son,,1-May-14
40,"Amid express rail row, it's a Nice time for CY",All Around Town.,1-May-14
41,City University rises in global rankings despite funding setback: College up one place to No 17 in rankings of universities under 50; Korean institute top,"Tam, Johnny.",1-May-14
42,"HKTV row testifies to 'unconstitutional licensing regime', viewers tell court","Chu, Julie.",1-May-14
43,Hong Kong actors get a dramatic opportunity to train at LAMDA: Hong Kong teenagerswait to learn who will tread the boards at a famous London stage school after 18-month theatre programme,"Chou, Oliver.",1-May-14
44,Motorist dies as car overturns on slippery road: Car crashes through four-metre stretch of railings before rolling onto roof at side of hill,"Lo, Clifford.",1-May-14
45,Customs nab HK$5m haul in sea raid: Alleged smugglers rammed launch in escape bid; incense timber and health products seized,"Lo, Clifford.",1-May-14
46,Customs net HK$5m haul in raid at sea: Alleged smugglers ram launch in escape bid; 2 arrested as precious incense timber seized,"Lo, Clifford.",1-May-14
47,Energy use sheds positive light on public awareness of conservation,"Kao, Ernest.",1-May-14
48,Global Times in 'neo-Nazi' jibe,"Zhao, Shirley; Huang, Keira.",1-May-14
49,"P.L.A. dock plan stokes concern over pollution: Controversial rezoningof harbourfront site could expose public to toxic fumes from military vessels, health experts warn","Kao, Ernest.",1-May-14
50,"Pan-democrats decry screening in NPP, DAB plans","Cheung, Tony.",1-May-14
51,Regina Ip denies reform plan is designed to help her,"Cheung, Tony.",1-May-14
52,School textbook prices to rise 3.2pc,"Tam, Johnny; Zhao, Shirley.",1-May-14
53,The Amazing Spider-Man 2 (IIA),,1-May-14
54,Breakbot,,1-May-14
55,de Sarthe Gallery,,1-May-14
56,"Purton opens gap in title race with a hat-trick: Championship leader goes 12 in front of rival Moreira, who draws a blank on the night","Cox, Michael.",1-May-14
57,Hong Kong young guns halt Germany's march to quarter-final,Chan Kin-wa.,1-May-14
58,"Able Friend can follow in Designs of Rome footsteps, says John Moore: Trainer is confident his improving star will be hard to beat in Sunday's Champions Mile","Hawkins, Andrew.",1-May-14
59,Japanese contender Meiner Lacrima blows out the cobwebs,"Aitken, Alan.",1-May-14
60,Holidaymakers endure nightmare traffic,,2-May-14
61,"One new superbug infection every 18 minutes in HK public hospitals: Statisticsfor public hospitals show cases have risen 15pc since 2011, with overcrowding and HK's ageing population given as key factors","Wang, Jeanette.",2-May-14
62,"One new superbug infection every 18 minutes in Hong Kong public hospitals: Statisticsfor public hospitals show cases have risen 15pc since 2011, with overcrowding and HK's ageing population given as key factors","Wang, Jeanette.",2-May-14
63,State Grid Corporation chairman targeted in massive audit,Staff Reporter.,2-May-14
64,State Grid Corporation chairman Liu Zhenya targeted in massive audit,Staff Reporter.,2-May-14
65,Japanese psyche reflected in monsters,"Lo, Alex.",2-May-14
66,Premier Li Keqiang makes case for deeper economic reforms over stimulus: Premier says reverting to short-term stimulus would only 'make life harder' in the future,"Li, Amy.",2-May-14
67,Thousands in Hong Kong march to demand better pay and shorter hours: Workers call for improved minimum wage and employment conditions,"Ngo, Jennifer.",2-May-14
68,Thousands of workers march to demand better pay and conditions: Protesters call for improved minimum wage and employment conditions,"Ngo, Jennifer.",2-May-14
69,"Two religious extremists carried out suicide attack in Urumqi, Xinjiang authorities say: Two religious extremists used knives then set off explosives, police say","Wan, Adrian.",2-May-14
70,Audit of State Grid Corporation starts at research division,Staff Reporter.,2-May-14
71,"China news in brief, May 2, 2014",,2-May-14
72,"In China, Labour Day holiday begins with millions stuck in traffic jams: Lines of barely movingvehicles extend up to 55km on highways in Beijing, Guangdong and Xian as millions try to reach vacation spots","Luo, Chris; Lau, Mimi.",2-May-14
73,National holiday kicks off with millions idling in traffic: The nation'sroadways and public transport systems stretched beyond capacity as the three-day holiday gets under way,"Luo, Chris; Lau, Mimi.",2-May-14
