,title,byline,dates
0,[ China seeks diplomatic support for Japan stance... ],,01 Jan 2014
1,[ Court of Appeal lifts ban on informer names... ],,01 Jan 2014
2,"Air quality index hits highest level on second day Authorities issue health warning after reading in Causeway Bay, but say Tai Po's was inaccurate","Kao, Ernest.",01 Jan 2014
3,Exporters hope global recovery can boost sales,"Tsang, Denise.",01 Jan 2014
4,"Fate of first HK-built plane up in the air Pilot who is building two-seater, single-engine plane from a kit - with the help of girls' school pupils - hopes it will be cleared for take-off this year","Lau, Stuart.",01 Jan 2014
5,Five IPOs break the drought on mainland Regulator's approval for listings is seen as sign of Beijing's resolve to reform the market,"Chen, George; Boehler, Patrick.",01 Jan 2014
6,"Hunger for reform to put spring in step of marchers While cost of housing is still top concern, annual study reveals electoral change is a rising priority as tens of thousands prepare to take to streets","Lam, Jeffie; Ngo, Jennifer.",01 Jan 2014
7,Lantau ferry route to closeafter losses,"Siu, Phila; Lee, Ada.",01 Jan 2014
8,"Parents blamed for HK children's declining fitnessFitness level of HK children falls 30pc since 1970 They would rather see youngsters play music than learn to swim, says city exercise expert","Kang-chung, Ng.",01 Jan 2014
9,Police swoop on loan-shark syndicates,"Ngo, Jennifer.",01 Jan 2014
10,A pyrotechnic welcome,,01 Jan 2014
11,[ BHP B3... ],,01 Jan 2014
12,"[ NEWS (Section A): Leading the News A3 , Focus A4 , China A5 , China Digest A5 , Asia A6 , World A7-9 , Opinion A10 , Insight A11... ]",,01 Jan 2014
13,[ Rival rallies kick off the new year... ],,01 Jan 2014
14,"[ Thursday, January 9: British Chamber of Commerce breakfast: ""2014 economic outlook with Stephen Green - After the slowdown, the deluge?"" HK Club. ]",,01 Jan 2014
15,[ We are no longer second-class citizens because of the length of our names... ],,01 Jan 2014
16,Anti-nuclear family,,01 Jan 2014
17,Consumer spending faces slowdown stress Buying curbs in the car sector and slowing bull run for sale of gold and jewellery add to uncertainty but online shopping seen booming,"Tsang, Denise; Man-ki, Kwong; Ap, Tiffany.",01 Jan 2014
18,Diaoyu activist 'missing in Shenzhen' Yang Kuang thought to be in the hands of mainland authorities after previous detentions,"Tsang, Emily.",01 Jan 2014
19,Dog abuser gets community service,"Chan, Thomas.",01 Jan 2014
20,"The good, the bad and the ugly in 2013 business scene While HKMEx failure is top scandal, progress made in commodities, bond and fund arenas",,01 Jan 2014
21,HK$4.9m way to keep Diaoyu boat in its place,"Siu, Phila.",01 Jan 2014
22,Man may have caught H9N2 at Shenzhen market,"Tsang, Emily; Lo, Wei.",01 Jan 2014
23,MY TAKELeaders must connect with the people,"Kumar, Hari.",01 Jan 2014
24,Private club accused of felling healthy trees Victoria Recreation Club member hits out at bosses for making a mess of greenery at its Sai Kung site - and possible breaching its lease,"Kao, Ernest.",01 Jan 2014
25,"Resolving to be more resolute next year the bottom line For the resolution-challenged, some advice on learning to get things done right, taking care of people and knowing when to just let go",,01 Jan 2014
26,"Beijing opts for diplomacy in Abe row Foreign minister calls counterparts in Russia, Germany and Vietnam to protest against Japanese leader's 'alarming' visit to war shrine","Ng, Teddy.",01 Jan 2014
27,Crowds hit streets to welcome 2014 Choking air pollution not enough to deter tens of thousands of revellers,,01 Jan 2014
28,Drone disrupts Beijing flights Four arrested over incident say they were carrying out survey work near the airport,"Luo, Chris.",01 Jan 2014
29,Property to take less of the GDP load Investment in real estate is seen easing back from role as a driver of growth on the mainland amid demand doubts and economic transition,"Chiang, Langi.",01 Jan 2014
30,"China bulls look to run on bargain shares strategy China bulls look to run onbargain shares strategy Another year of losses is more reason to buy for some investors, who see a match on valuations with shifts in global capital out of boom markets","Moiseiwitsch, Jasper; Sito, Peggy.",01 Jan 2014
31,[ Beijing... ],Name Name.,01 Jan 2014
32,[ It's time to close this microblog. ],,01 Jan 2014
33,"Cartoon contest touches on delicate subject Nearly 40,000 people submit captions for online competition, but some say topic is inappropriate","Wu, Nan.",01 Jan 2014
34,Journalists campaign for strike supporter Staff at Southern Weekly say activist facing trial was within his rights to support their stoppage,"Hui, Echo.",01 Jan 2014
35,Prominent rights activist closes blog,"Zhou, Laura.",01 Jan 2014
36,"The coming of With just one move, Shinzo Abe may have set his recovery plan and Japan on a crash course by appearing to bow to a nationalist agenda Abegeddon","Rafferty, Kevin.",01 Jan 2014
37,Reforms ahead as Beijing keeps eye on capital flows New rules come as the government cracks down on corruption and liberalises the capital account,"Man-ki, Kwong.",01 Jan 2014
38,[ Now time to scrap one-way permit scheme... ],,01 Jan 2014
39,[ Poverty trap. ],,01 Jan 2014
40,Companies need a woman's touch,,01 Jan 2014
41,Plastic fantastic for fighting fakes,,01 Jan 2014
42,Protests against rezoning waterfront must always be lawful,,01 Jan 2014
43,In the frames,,01 Jan 2014
44,[ Gas leak caused Egypt balloon crash: report... ],,08 Jan 2014
45,[ Lehman puts California land on the market... ],,08 Jan 2014
46,[ No one won the first and second prizes in last night's draw. ],,08 Jan 2014
47,"[ Point of sale Price: HK$14.3 million Size: 1,040 sq ft Where: Park Island, Ma Wan . ]",,08 Jan 2014
48,[ Suspect in consulate arson 'heard voices'... ],,08 Jan 2014
49,"Asian banks to give bonus surprise Unlike Western rivals, regional players are expected to offer fat rewards","Chen, George; Kanis, Li.",08 Jan 2014
50,Coming clean on China's deadly airEx-minister backs estimate of China smog deaths,"Wee, Darren.",08 Jan 2014
51,Expanded powers sought for regulators Government will seek law change next year to allow watchdogs to unilaterally take control of troubled financial giants to pre-empt bailouts,"Yiu, Enoch.",08 Jan 2014
52,Investors drop suitagainstCRP bosses Shareholders withdraw claim of breach of fiduciary duties after judge refuses to add new allegations to the original complaint,"Ng, Eric.",08 Jan 2014
53,"Kerry won't follow rivals by discounting heavily Agents see good response to flats at The Summa, even with prices higher than at some projects","Liu, Yvonne.",08 Jan 2014
54,"Letting reit s invest indevelopment 'risky' Fortune Reit chairman rejects proposal to let trusts take stakes in building property, saying it could threaten the stability of their returns","Sito, Peggy.",08 Jan 2014
55,Manila shooting victim happy to see her son,"Chan, Samuel.",08 Jan 2014
56,Minority pupils to get more help Policy address set to announce plans for a new framework for teaching Chinese as a second language to better integrate ethnic minority children,"Ngo, Jennifer.",08 Jan 2014
57,Ship breaks free of thick ice after weather changes Captain of the Xue Long said to be exhausted but in high spirits following 14-hour operation,"Chen, Stephen.",08 Jan 2014
58,Six Happy Valley players arrested over match-fixing,"Lo, Clifford; Kao, Ernest.",08 Jan 2014
59,Strain shows on HousingAuthority Building push will see its surplus fall by 83 per cent over four years to hit HK$958 million,"Fung, Fanny W Y.",08 Jan 2014
60,Trainer Kan fined for building illegal gate,"Chan, Thomas.",08 Jan 2014
61,Tributes paid toHong Kong legacyof Run Run Shaw Chief executive leads the praise for film-maker who turned city into 'Hollywood of Orient' and also donated billions to charities and education,"Chow, Vivienne.",08 Jan 2014
62,[ Anhui Conch B4... ],,08 Jan 2014
63,[ Fujian Nuoqi B5... ],,08 Jan 2014
