,title,byline,dates
0,Applying for uni? Here's five ways you can make your Student Learning Profile stand out: Is your Student Learning Profile up to scratch? Melody Tam and Ng Po-shing tell Ben Pangthe top five things you can do to make your SLP stand out from the crowd,,20 Aug 2016
1,"In Macau's casinos, high rollers come and go, but one man stands above them all: Galaxy Entertainment chairman Lui Che-woo sees grandeur in Macau in the next few years when the Hong Kong-Zhuhai-Macau bridge opens",,20 Aug 2016
2,Chart of the day: China on spending spree,,20 Aug 2016
3,"Hong Kong stocks in three week rally on upbeat corporate earnings, Stock Connect optimism: Sentiment improves as big companies report better-than-expected half-yearly performance",,20 Aug 2016
4,"Shenzhen-Hong Kong stock link heightens expectations for fresh outbound QDII, QDLP quota: Coming launch of Shenzhen-HK cross-border share trading reveals investor interest in foreign-listed equities is high",,20 Aug 2016
5,Strict rules imposed on HK independence talk at schools: Students can discuss the controversial topic - as long as it falls within Basic Law limits (whatever that means),,20 Aug 2016
6,Swimmers caught in a lie,,20 Aug 2016
7,Trump plays nice - sort of,,20 Aug 2016
8,A young survivor faces the dirty realities of war,,20 Aug 2016
9,"Brokers believe Hong Kong stock market circuit breaker fails to address market's real problem: Volatility control mechanism is unlikely to cause a repeat of Black Monday market meltdown in 1987 or China's circuit breaker chaos in January, but some brokers say that by concentrating on Hang Seng Index and H-share constituent stocks it is aiming at the wrong targets",,20 Aug 2016
10,"Bank of East Asia pushes ahead with cost saving programme as pre-tax profit dips 30pc in first half: Lender to further diversify income sources, manage operating costs as pre-tax profit falls during first six months of the year",,20 Aug 2016
11,China rings up US$32.4b sales of smartphones in second-quarter,,20 Aug 2016
12,China's CR Beer says cost controls boosted first half profit by 45pc despite lower sales,,20 Aug 2016
13,Guotai Junan International half-yearly profit declines 10 pc: Brokerage firm expects upcoming Shenzhen-HK connect to bolster future growth after posting better than expected half-yearly performance,,20 Aug 2016
14,Struggling to beat the System,,20 Aug 2016
15,ZTE gets 3-month reprieve from US ban on components,,20 Aug 2016
16,"Music Maestros: Sir Elton John: Each week, we look at musicians who have had a big impact on the world. This week, it's Elton John, one of the most successful singer-songwriters to ever sit at the piano",,20 Aug 2016
17,all about movies: Lights! Camera! Action! Can you find all 100 of these movie-related words in today's puzzle?,,20 Aug 2016
18,Old World charm: practical layout and efficiency add to appeal of spacious Conway Mansion flat on Hong Kong Island's Conduit Road,,20 Aug 2016
19,Bracket me with Ali and Pele: Usain Bolt on brink of 'triple-triple' after superb 200m win: Jamaican wants to be seen in the same bracket as Pele and Muhammad Ali as he seeks third Games relay gold,,20 Aug 2016
20,'Irritable' Yu retires with regrets as pressure tells,,20 Aug 2016
21,Hong Kong's last medal hope aiming to give mountain biking a boost with strong Rio showing,,20 Aug 2016
22,"World class: Hong Kong's best can cut it in the Olympics, but there are too few of them",,20 Aug 2016
23,"'Look beyond just medals': Hong Kong Olympic chief Kenneth Fok defends athletes' performance at Rio Games: Having sent 38 athletes to Brazil, Hong Kong are set to come back empty-handed from Rio",,20 Aug 2016
