,title,byline,dates
0,Five government sites to be put up for sale soon,,29 Sep 2016
1,"Hong Kong's capital market, trading platform, major drawing cards for mega IPOs: City still hot spot for mega listings as biggest offer in two years shows, says financial official",,29 Sep 2016
2,"Analysts warn Chinese home buyers rapidly approaching their spending limit: Rapid growth in new mortgage lending and the sharp fall in savings levels pose risks for sustained growth of China's property sector, say analysts",,29 Sep 2016
3,"Hong Kong stocks flat as investors wind down for mainland holiday: Investors hold off as yet another bank lists, say analysts, as Postal Savings fails to spark buying",,29 Sep 2016
4,Port output up in August,,29 Sep 2016
5,China Evergrande offloads its foodstuffs unit for 2.7bn yuan: China's second-largest developer turns focus back to property and other related sectors after selling non-core assets for strategic purposes,,29 Sep 2016
6,"Hong Kong start-up Tink Labs nabs US$125m funding to fuel global expansion: Travel tech start-up gets bulk of new financing from FIH Mobile, a Foxconn Group subsidiary",,29 Sep 2016
7,"Postal Savings Bank off to a stuttering start in Hong Kong after US$7.3 billion IPOPos: Lender's debut premium second lowest among global public offerings as high valuations dampen investor interest, keep shares subdued in HK",,29 Sep 2016
8,"Baidu sees AI giving it head start in race to develop self-driving car market in China: Search giant sees huge commercial applications for technology in autonomous driving, plans to make huge investments on new growth driver",,29 Sep 2016
9,"Hong Kong to remain a yuan hub as currency joins reserve basket, says HKMA chief",,29 Sep 2016
10,Property sell-offs becoming the saviour of struggling state-owned firms: Xian-based Tianhe Defense to sell properties in Beijing to beautify its fractured balance-sheet,,29 Sep 2016
11,"Thomas Vinterberg talks about his latest film Commune, inspiration and the problematic legacy of Dogme 95: Danish director Thomas Vinterberg drew on hisown childhood growing up in a 1970s Copenhagen commune for his latest outing, writes Edmund Lee",,29 Sep 2016
12,Top 5 films to watch in Hong Kong this week: September 29-October 5,,29 Sep 2016
13,Heavy metal survivors X Japan hope first album in English is passport to wider fame,,29 Sep 2016
14,"Lucky night for both Ho, Fownes with double: Jockey delivers two-timer for trainer in final pair of races as trio of handlers - Francis Lui, Derek Cruz and Benno Yung - have yet to score",,29 Sep 2016
15,"How German director Doris Dorrie, a frequent guest of Japan, finds humanity in Fukushima: German director's love affair with Japan continues in a film shot on location in Fukushima about two women who bond in the aftermath of the 2011 nuclear disaster, writes Edmund Lee",,29 Sep 2016
16,"Once Moore - big-race king John Moore eyes back-to-back victories for Not Listenin'tome in National Day Cup: Trainer has high hopes for Not Listenin'tome, but sounds a warning over return of Helene Paragon",,29 Sep 2016
17,Hong Kong minister launches probe into possible breach of confidentiality over Yuen Long leaks: Move linked to leak of internal government data on behalf of private developer on population and employment figures for Wang Chau project,,29 Sep 2016
18,Hong Kong Occupy activists deliver upbeat message at second anniversary rally,,29 Sep 2016
19,Paul Tse and Michael Tien present united front against Andrew Leung taking Legco helm: Pro-establishment camp still tussling over who should bid to replace Jasper Tsang in hot seat,,29 Sep 2016
20,"'He may already know how many votes he has': CY Leung 'top seed' in Hong Kong chief executive race, Regina Ip says",,29 Sep 2016
21,"Charred body found in burned village hut, leading Hong Kong authorities to investigate foul play: Investigation launched to determine the cause of the morning fire on Hang Tau Road",,29 Sep 2016
22,"Hong Kong man jailed two years for setting paralysed wife on fire: Caregiver husband who set disabled partner alight after row over extramarital affair given two years in jail, but wife forgives him and wants him home",,29 Sep 2016
23,Hong Kong minimalist shoe running experiment sets stage for better treatment of heel ailments: Study shows jogging in minimalist shoes can boost foot muscle volume,,29 Sep 2016
24,"Compensation for hawkers at doomed Yen Chow Bazaar: Government offers unlicensed traders one-off fee, priority stalls and cheap rent to relocate",,29 Sep 2016
25,High-flying appointment for retired police officer,,29 Sep 2016
26,"No outright rejection this time: HKTV's second application for licence returned for consideration: HKTV boss sees return of second application for consideration as way to avoid embarrassment for CY Leung, and protect his chances for re-election",,29 Sep 2016
27,Hong Kong design centre serves rising demand for homes that meet needs of elderly: Showroom caters to rising demand for flats that are modified to suit ageing relatives,,29 Sep 2016
28,Hong Kong Shaw Prize winner who got into gravitational waves by chance: Physicist Rainer Weiss went on to co-found observatory that detected gravitational waves,,29 Sep 2016
29,Owner jailed for docking poodle's tail: Vet applauds sentence after magistrate slams defendant's ignorance of the cruel practice,,29 Sep 2016
30,"Two workers in Hong Kong care home responsible for taking photos of mentally disabled patient, court told: Sha Tin Court hears how care home employee took picture of a resident with adhesive tape stuck to his nipples because he 'looked cute'",,29 Sep 2016
31,9.4pc slump in Hong Kong visitor arrivals deals blow to struggling tourism sector,,29 Sep 2016
32,"Finance firms upend HKMA's lending caps on property, adding fuel to red hot market: HKMA caps face challenge as two lenders and property agencies target new borrowers before possible interest rate rise in the United States",,29 Sep 2016
33,Canada's thorny dilemma over extradition treaty with China,,29 Sep 2016
34,"'Global Times didn't have journalists at summit', says Singapore ambassador as row escalates over South China Sea report: Ambassador says Global Times did not send reporter to cover summit at centre of row",,29 Sep 2016
35,The accidental US sanctions breaker? China's accidental sanctions breaker?: Cross-border trader might have been unwilling player in nuclear game,,29 Sep 2016
36,"China's massive Pacific air force drill just the start of even bigger shows of might against US, experts predict: Large-scale exercise in Western Pacific is likely to be repeated, analysts say, as China integrates long-range forces to counter US influence in region",,29 Sep 2016
37,"Hong Kong slips two spots in global competitiveness index, while Singapore still leads Asia-Pacific",,29 Sep 2016
38,How the row unfolded,,29 Sep 2016
39,North Korean defector in Hong Kong 'played video games inside South Korean consulate',,29 Sep 2016
40,"China's new free trade zones push inland but foreign investors still raise market access concerns: As more pilot FTZs are named, many industries are still off limits to foreign investors, with the added uncertainties of a national security review",,29 Sep 2016
41,Shanghai FTZ's third anniversary nothing to celebrate given slow progress on financial reform: Disappointing progress of Shanghai FTZ partly result of sluggish pace of capital control reforms,,29 Sep 2016
42,Shenzhen's success as innovation hub seen by some as model for all of China,,29 Sep 2016
43,Top court's decision in favour of Hysan protects all property owners,,29 Sep 2016
44,Using CCTV to deter dumping of food waste step in right direction,,29 Sep 2016
45,police told to tape all contact with the public BBBBB: Directive part of drive to update and standardise law enforcement but lawyers say rules will be easy to get around if not properly implemented,,29 Sep 2016
46,"Lack of debate over future US policy towards China 'will weaken Washington's role in Asia': Often incoherent campaign rhetoric complicates US message to Asia and undermines American leadership in the region, report's authors say",,29 Sep 2016
47,"Growing calls for Beijing to step in, as mainland house prices continue skyrocketing: Pressure increases on Beijing to announce more measures to cool red-hot housing market as smaller cities find it difficult to rein in prices",,30 Sep 2016
48,"Li Ka-shing and son reveal 11.6pc interest in Postal Savings Bank H-shares: HK's richest man plans to hold shares for the long-term, expresses confidence in lender",,30 Sep 2016
49,Energy producers extend Hong Kong stock rally in thin trading: Growing expectations for Shenzhen stock link add to the rebound amid shrinking turnover,,30 Sep 2016
50,"Stability-minded CSRC tightens checks on asset restructuring: China's securities watchdog tightens oversight on reverse mergers, share placements to reassure retail investors, restore market confidence",,30 Sep 2016
51,Hong Kong loses out to Singapore in corporate governance survey,,30 Sep 2016
52,Samsung insists Note 7 in China is safe after 6th reported battery explosion,,30 Sep 2016
53,"Shenzhen to use Hong Kong's public housing system as a model for retaining talent: Innovation hub plans to designate 300,000 new homes as affordable housing for 'talent', but analyst warns that policy may lead to unfairness",,30 Sep 2016
54,Three levels of Convention Plaza in Wan Chai sell for record price: Three consecutive floors in Wan Chai snapped up by mainland-based CEFC China Energy,,30 Sep 2016
55,"Hong Kong start-up launches search platform for flexible work space as city's office rents soar: Search platform AnyWorkspace makes it easy for entrepreneurs or big firms to instantly compare co-working spaces in HK, Singapore and Jakarta",,30 Sep 2016
56,Insurers spy revenue creation possibilities in APrivacy's secure data technology,,30 Sep 2016
57,"Bounce in Chinese oil-related stocks after Opec's surprise cut in output: Cartel's agreement to reduce output by 750,000 barrels a day also buoys international oil prices",,30 Sep 2016
58,Chu Kong joins property development game amid energy downturn: Pipe producer reaps benefits from diversification move amid a downturn in the energy industry but it remains committed to its core business,,30 Sep 2016
59,Green Dispatch can provide in-form trainer Danny Shum with another winner: The in-form trainer has replenished his stocks and is getting the best out of the new additions,,30 Sep 2016
60,He is Listenin',,30 Sep 2016
61,Hong Kong Derby hopeful California Joy out to record back-to-back victories at Sha Tin: Tony Cruz's progressive four-year-old is shooting for a second straight victory as he tries to secure a berth in big Group One races later this season,,30 Sep 2016
62,track stars,,30 Sep 2016
63,"Favourite Hong Kong restaurants of Candice Suen-Sieber, director of Bite Limited",,30 Sep 2016
64,Legal action: Hong Kong cricketer Nizakat Khan hopes ICC will remove bowling ban after analysis test in Australia: Hong Kong all-rounder has been banned from delivering his leg-spinners since July last year,,30 Sep 2016
65,A look at Macau's six Michelin-starred Chinese restaurants: Several Chinese restaurants in Macau have earnedMichelin ratings. Susan Jung tries six of them,,30 Sep 2016
66,Brooklyn Bar & Grill brings the New York vibe to Hong Kong,,30 Sep 2016
67,Hong Kong menu,,30 Sep 2016
68,Restaurant review: Esme at Maison Eight in Tsim Sha Tsui - fine French fare,,30 Sep 2016
69,"Restaurant review: Oolong BBQ, Mong Kok - DIY indoor barbecue and clay pot cooking",,30 Sep 2016
70,What a minister's reluctance to be PM reveals about race in Singapore,,30 Sep 2016
71,"Hong Kong pan-democrat and localist election candidates trump rivals on social media, study finds: Study shows election candidates were far more switched on to social media than their pro-establishment rivals with Eddie Chu leading the way for fans",,30 Sep 2016
72,Hong Kong woman dies after being trapped under bus in Tsim Sha Tsui crash: Police say he may have collapsed at the wheel on the day a cyclist dies in collision at Discovery Bay,,30 Sep 2016
73,Show of force,,30 Sep 2016
74,"'Understandable' for Beijing's liaison office to be concerned about who becomes next Legco president, Andrew Leung says: Front runner defends Beijing concerns while critics say officials have no role in city's politics",,30 Sep 2016
75,Hong Kong 'hole-in-the-wall' burglars caught red-handed breaking into Hung Hom money exchange shop: Gang caught after security alarm in Hung Hom money exchange went off,,30 Sep 2016
76,"Hong Kong's urban parks need 'nature corners' to nurture city's 'rich diversity' of butterfly life, HKU experts urge: Designs should nurture 'rich diversity' of city species, HKU ecologists say",,30 Sep 2016
77,New high school curriculum will increase focus on Hong Kong's history as part of China: Lessons for junior secondary schools under a new curriculum aimed at raising student interest slammed for steering clear of negative aspects,,30 Sep 2016
78,Top Hong Kong court to decide if ban on resigned lawmakers standing in by-elections is unconstitutional,,30 Sep 2016
79,"Bid-rigging scheme: Hong Kong judge jails renovation subcontractor, calls for more industry regulation: The call comes after a subcontractor is jailed for 35 months in connection with rigged HK$260m project at a private estate in Sha Tin",,30 Sep 2016
80,Changing gears,,30 Sep 2016
81,"Hong Kong fish population under threat from oxygen-starved water, breakthrough study finds: Sewage leads to reproductive problems passed down to offspring, study finds",,30 Sep 2016
82,Singing police told to belt up after video: Officers suffer social media ridicule over routine spreading the word on seat belts,,30 Sep 2016
83,"C.Y. threat to sue over 'malicious' editorial: Chief executive issues legal letter to Apple Daily over commentary, complaining of allegations that could hurt his chances of re-election",,30 Sep 2016
84,Private hospitals agree to publish bill estimates: Voluntary scheme will start tomorrow and cover 24 common procedures,,30 Sep 2016
85,Our students must learn about city's constitutional set-up,,30 Sep 2016
86,'Don't ignore China's economic coercion': former Clinton aide's advice to next US president: Former Hillary Clinton aide says Washington focuses too much on military competition with Beijing while overlooking its other tool of power,,30 Sep 2016
87,China to set up no-coal zones in cities around Beijing to tackle hazardous smog,,30 Sep 2016
88,CY Leung promises to resolve MPF offset controversy before term ends: But his No 2 official says actual change will have to be left to the next government to implement,,30 Sep 2016
89,Wanda sacks executive embroiled in bribery case that may have shaped Chinese conglomerate's destiny,,30 Sep 2016
90,"Hong Kong government likely to reject calls for HK$5,000 minimum wage for domestic helpers, says start-up CEO",,30 Sep 2016
91,Hong Kong trade unionists despair of minimum wage mechanism,,30 Sep 2016
92,"Keeping it to a minimum: Employers are standing firm against any minimum wage rise , but unions want it lifted as high as HK$41 an hour so workers 'can live with dignity'",,30 Sep 2016
93,Reinvigorate Hong Kong with more pedestrian-only zones,,30 Sep 2016
94,Shimon Peres - a dreamer who was also a realist,,30 Sep 2016
95,Hong Kong banks' treatment of ethnic minorities is utterly shameful: Yonden Lhatoo shudders at the prospect of even more discrimination against the city's ethnic minorities as banks turn away customers in the name of security,,30 Sep 2016
96,attraction,,30 Sep 2016
97,"'row points to bilateral discord': Public spat between Singapore's ambassador and Global Times highlights Beijing's disappointment with city state on maritime dispute, analysts say",,30 Sep 2016
98,EVA Air takes heat for flying in face of Typhoon Megi: Aviation watchdog to investigate whether carrier followed all safety procedures and regulations,,30 Sep 2016
99,Man arrested over slaying of 19 neighbours in south China,,30 Sep 2016
100,pentagon told to tone down China rhetoric: US military chiefs ordered to steer clear of inflammatory phrase in apparent move by Washington to ease ties between the two countries,,30 Sep 2016
101,One Chinese villager dead and 32 others still missing after deadly Typhoon Megi triggers two landslides: Dozens missing and hundreds evacuated as typhoon unleashes wave of destruction,,30 Sep 2016
102,China's yuan set to become the only IMF reserve currency that isn't fully convertible,,01 Oct 2016
103,Chinese yuan still far from being a global currency despite inclusion in IMF's SDR basket: SDR decision has failed to boost global use of the currency amid concerns over depreciation and lack of transparency in China's monetary policies,,01 Oct 2016
104,"Chinese box office growth slows as movie fans turn to online streaming: Competition from internet platforms and lack of Hollywood blockbusters hurt earnings prospects for mainland cinemas this year, say analysts",,01 Oct 2016
