,title,byline,dates
0,Jetpack backer Kuang-Chi launches US$250 million global fund for innovative firms,,01 Nov 2016
1,"Profitability of A-share companies falls to lowest in five years: Companies traded on the Shanghai and Shenzhen stock exchanges see their returns on equity falling to 8.05 per cent, the lowest in five years",,01 Nov 2016
2,Zhou Fuyu to join China's ultra-rich ranking after IPO in fast-food chain Zhou Hei Ya,,01 Nov 2016
3,Back on track,,01 Nov 2016
4,"China's theme park industry to become world's largest by 2020, analysts say: Entry of foreign brands set to redefine entertainment experiences in China as companies jostle to grab a slice of the fast-expanding market",,01 Nov 2016
5,Alibaba tipped to record solid quarterly revenue growth: E-commerce giant sees robust growth in gross merchandise volume for quarter to September,,01 Nov 2016
6,ANZ sold retail banking in five Asian market to DBS: Lender seeks to sharpen its focus on institutional banking in the region by selling retail and wealth management operations in five markets to DBS,,01 Nov 2016
7,HSBC launches new R&D lab for fintech in Hong Kong: Financial secretary John Tsang says city has 12 labs working in fintech R&D-related areas,,01 Nov 2016
8,"Developer Country Garden to expand its reach in Malaysia, Indonesia: Developer adds to portfolio of projects in Malaysia with integrated township plan as well as hotel, villa and apartment complex in Indonesia",,01 Nov 2016
9,"Financial lawmaker calls on SFC to relax rules restricting Hong Kong stockbrokers: Brokers must get nod for asset management business, says Christopher Cheung",,01 Nov 2016
10,Hang Seng Index loses 1.6 per cent of its value during October,,01 Nov 2016
11,Insurance stocks hammered as China tries to slow capital outflows through Hong Kong insurance purchases: Beijing bans policy purchases with UnionPay cards in HK and launches probe into illegal sales,,01 Nov 2016
12,SFC probe on UBS underlines the urgent need for listing reform: Swiss banking firm may face a fine or a possible ban on advisory roles,,01 Nov 2016
13,"Amundi targets investors with Hong Kong's cheapest FTSE China A50 exchange traded fund: Banking, insurance sector are becoming priorities for foreign investors in A-share market due to lower volatility, says France-based asset manager",,01 Nov 2016
14,"Bank of Chongqing Q3 profit result up 11.2pc, bolstered by fee and commission income: Lender's quarterly earnings up 11.2pc on higher fee and commission income",,01 Nov 2016
