,title,byline,dates
0,"Citizen's legal bid to disqualify Hong Kong lawmakers over oath saga fails due to unpaid deposit: Retiree will have to bear costs of Eddie Chu and Cheng Chung-tai, and more challenges unlikely",,01 Aug 2017
1,"education appointee set to divide: Pro-Beijing school principal set to join government, despite petition and protests against her doing so",,01 Aug 2017
2,"Hong Kong beer race requiring participants to drink a can every 400m draws criticism: Organiser says focus is on fun, while doctors warn of increased odds of runners in accidents",,01 Aug 2017
3,Hong Kong jewellers face new panel for industry standards,,01 Aug 2017
4,"48 per cent of Hong Kong patients receiving a new organ fail to follow drug guidelines: Some forget, others are too busy or blame incompatibility with lifestyles, survey shows",,01 Aug 2017
5,56 per cent surge in online shopping scams in Hong Kong prompts police crackdown,,01 Aug 2017
6,Artificial leg that puts spring in step up for award,,01 Aug 2017
7,Confidence in Hong Kong's police watchdog improves slightly from year before,,01 Aug 2017
8,"Hong Kong teen suspected of attempted rape found hanged after police raid flat: Discovery made at flat of deceased boy, 17, whom police had identified in connection with attack on female student, 19, in housing estate at weekend",,01 Aug 2017
9,Redevelopment of iconic Hong Kong public housing estate wins approval but on condition of MTR line extension: But district council conditions its support on approval of MTR extension,,01 Aug 2017
10,Beating the heat,,01 Aug 2017
11,"China says it's not to blame for crisis in North Korea, as US piles on the pressure: Beijing hits back at Washington over the accusation that it has not done enough to rein in its neighbour's nuclear weapons programme",,01 Aug 2017
12,Hong Kong scientist in breakthrough study that offers hope to liver cancer patients: Team including HK scientist shows how missing gene plays key factor in development of disease,,01 Aug 2017
13,E-sports promoters are taking us for a ride,,01 Aug 2017
14,"Beijing claims win against 'irrational' outbound cash, stopping 'crocodiles' and 'ants' in their tracks: Outbound deals measured in yuan plunge 43 per cent in first half of year",,01 Aug 2017
15,"Disqualified Hong Kong lawmaker 'Long Hair' Leung Kwok-hung not guilty of misconduct over HK$250,000 donation from media tycoon",,01 Aug 2017
16,"Hong Kong home prices rise for 15th straight month to a record, but at a slower pace: Analysts expect trend to continue for rest of this year even as new units come on the market",,01 Aug 2017
17,"Joint checkpoint plan for rail link grants Hong Kong more power, not less, legal scholar says: Law professor's argument on 'co-location' adds to debate on true intent of Article 20 of the Basic Law",,01 Aug 2017
18,Top Chinese magazine attacks fugitive tycoon over Abu Dhabi dealsTop Chinese magazine attacks fugitive tycoon over Abu Dhabi dealsTop Chinese magazine attacks fugitive tycoon over Abu Dhabi dealsTop Chinese magazine attacks fugitive tycoon over Abu Dhabi deals,,01 Aug 2017
19,"Is Beijing's hardline stance on border rows blowing its defence diplomacy?: Beijing's diplomatic efforts to build trust and transparency while showcasing its military prowess are being offset by an aggressive stance over territorial disputes, diplomats and observers say",,01 Aug 2017
20,Carrie Lam must put promises on youth development into action,,01 Aug 2017
21,"On 90th anniversary, PLA reforms on show",,01 Aug 2017
22,"Could rude Hong Kong please learn from commuters in Japan? Thank you: Peter Kammerer says impolite Hongkongers can't blame it all on the urban crush, when decency is a way of life in crowded Tokyo",,01 Aug 2017
23,"China snips red tape for foreign investors in global race for funds and expertise: New regulations mean firms from abroad must only fill out one set of forms before taking a stake in most Chinese companies, ministry says",,01 Aug 2017
24,Former Chinese top cop demoted in Communist Party probe v,,01 Aug 2017
25,"Beijing leads the way for China's cashless generation, study finds",,01 Aug 2017
26,China's environment watchdog reads riot act to megacity over litany of pollution failures: Leading environmental watchdog accuses municipality of a long list of failures to safeguard air and water quality in smog-plagued region,,01 Aug 2017
27,Chinese blogger sorry after essay slamming Beijingers' 'fake' lives goes viral and is censored: Internet watchdog blocks access to essay after it attracts more than five million views,,01 Aug 2017
28,"Chinese woman missing in Japan 'left note wanting fresh start': Teacher, 27, who vanished during holiday in Japan left note in her luggage",,01 Aug 2017
29,"I can't wait to return to Hong Kong, says new Formula E champion Lucas di Grassi: Formula E champion looking forward to start of new season in Hong Kong event",,01 Aug 2017
30,Another share buyback and a 5pc half yearly rise in profit drive HSBC shares higher: London-based lender also reveals third share buy-back plan within a year worth US$2 billion,,01 Aug 2017
31,MSCI warns against prolonged trading suspensions of mainland Chinese A-shares: Index compiler says it will remove firms that have stopped trading for more than 50 days,,01 Aug 2017
32,"Signs mounting of traditional build-up to serious financial crisis, which is just being put off with another bout of easy credit: Amid rising economy, overproduction risks are seen but not addressed",,01 Aug 2017
33,Chart of the day: Growth strong at ports,,01 Aug 2017
34,"Hong Kong stocks up for 7th straight month, longest stretch of gains in a decade: Upside beyond 27,000 points seen limited as benchmark continues run for a seventh month",,01 Aug 2017
35,"Investor sentiment toward Chinese economy highest in two years, analysts say: Sentiment at highest since mid-2015 but dominance of state-owned firms, strict capital curbs and investment-driven growth model spark worries",,01 Aug 2017
36,Chinese search engine Sogou set to kick off US IPO process,,01 Aug 2017
37,"Huawei sees upcoming Mate 10 handset spoiling the launch of Apple's new iPhone: Firm expects Mate 10 to give it an edge in global markets with better features, battery life before launch of US technology giant's latest iPhone",,01 Aug 2017
