,title,byline,dates
0,Hong Kong and Macau's best restaurants honoured in the 2018 Michelin Guide,,01 Dec 2017
1,"Hong Kong e-payment operator Octopus launches QR code service, aiming to get city's 40,000 taxi drivers off cash",,01 Dec 2017
2,"Hong Kong's MTR Corporation turning blind eye to bullying in workplace, union says: Four in every five employees at city's railway operator feel they have been unreasonably treated by supervisors, according to survey",,01 Dec 2017
3,"Lu Ping held firm on immigration, Zhang says",,01 Dec 2017
4,Sex abuse claims rock sport ... and raise questions: Lawmaker reveals that he received a letter recently accusing another coach of assault,,01 Dec 2017
5,19 hurt as Hong Kong double-decker bus ploughs into truck on Lantau highway,,01 Dec 2017
6,Better treatment of heart disease eyed for East Asians with discovery of genetic factors by HKU researchers: HKU team identifies genes linked to blood lipid levels that are more common in East Asians,,01 Dec 2017
7,Tearful finance boss tells Hong Kong murder trial he did not intend to harm or kill mistress: Finance company boss accused of murdering his mistress denies he meant any harm and lied only because he was afraid of losing everything,,01 Dec 2017
8,"Excessive executions, a Red Army blacklist and a house on The Peak for 'only' HK$4 million: headlines from four decades ago",,01 Dec 2017
9,"Hong Kong government should start take two years before starting controversial national security legislation, says former minister",,01 Dec 2017
10,"retail sales surge on 'Golden Week' bonanza: Figures up for eighth straight month in October thanks to mainland's annual, week-long holiday",,01 Dec 2017
11,"Despite Joko Widodo pledge, Indonesian domestic helpers are still coming to Hong Kong",,01 Dec 2017
12,"Hong Kong hurdler Vera Lui's claim that a coach sexually assaulted her when she was 13 sparks outcry, police probe: Hong Kong hurdler Vera Lui follows in footsteps of other public figures who have come forward with #MeToo Facebook post on her birthday",,01 Dec 2017
13,Britain needs to truly let go of Hong Kong,,01 Dec 2017
14,"China prepared to end North Korea student exchanges if missile test crisis deepens: China could end two-decade-old programme with N Korea if tensions escalate, official says",,01 Dec 2017
15,"China will back tougher sanctions as North Korea threat grows, say analysts: But Beijing to stop short of meeting US call for full oil embargo, experts say",,01 Dec 2017
16,Couple in street sale row vow to fight on despite 'huge' legal bill after reversal of San Francisco street purchase,,01 Dec 2017
17,Hong Kong tycoon Hui Wing-mau donates priceless ancient map of Silk Road to Palace Museum,,01 Dec 2017
18,"Malaysian tour group arrested at Hong Kong airport with HK$4 million worth of ketamine: Six Malaysians arriving from Kuala Lumpur arrested for trying to carry in 8kg of stimulant, in what could be fresh drug trafficking route",,01 Dec 2017
19,"Despite its limited influence, activists still want Britain to try and speak up for Hong Kong's freedoms: Moves are under way to press the British government to be more assertive on Hong Kong affairs",,01 Dec 2017
20,Get on track by legalising car-hailing services,,01 Dec 2017
21,Trump is jeopardising both trade and diplomacy with China,,01 Dec 2017
22,"chinese, u.S. generals meet after missile test: Senior officers from two sides wrap up talks in Washington planned in August but held hours after Pyongyang's latest weapons launch",,01 Dec 2017
23,"'Big Cannon' Ren Zhiqiang compares China to North Korea over hukou policy: No other country but North Korea has household registration, notes Ren Zhiqiang",,01 Dec 2017
24,Chinese court clears man jailed 15 years over spate of attacks on women in Xinjiang,,01 Dec 2017
25,Evictions waken Beijing middle class to plight of migrant workers: More affluent and educated in capital shocked by campaign to remove poorer workers from homes,,01 Dec 2017
26,Will this artificial intelligence system keep your kindergarten toddlers safe?: Algorithm can analyse a live video stream and detect behaviour such as punching or slapping,,01 Dec 2017
27,Good to be King,,01 Dec 2017
28,"Michael Freedman's Sparkling Dragon set to shine again at Sha Tin: With a better draw, the three-year-old looks the one to beat in the Granville Handicap on Sunday, but Gallant Return could provide some competition",,01 Dec 2017
29,TRACK STARS,,01 Dec 2017
30,Veterans Flying Tourbillon and Ten Flames proves they still have something to offer after good runs at Happy Valley,,01 Dec 2017
31,a rolls-royce and five-star treatment,,01 Dec 2017
32,Sam Bird and Alex Lynn the perfect fit as DS Virgin Racing close the gap on Formula E heavy hitters: Sam Bird and Alex Lynn want to make a solid start to the Formula E season with DS Virgin Racing,,01 Dec 2017
33,Mayweather in Hong Kong? Unbeaten boxer to visit city as part of his US$3 million China tour: Mayweather brags he is getting US$3m to enjoy his 'luxury tour' with an entourage,,01 Dec 2017
34,Shanghai SIPG boss Andre Villas-Boas leaves his post at the club to pursue his dream of competing in the Dakar Rally: reports,,01 Dec 2017
35,All eyes on Opec,,01 Dec 2017
36,Hong Kong secondary home prices rise for 19th straight month in October: Growth momentum expected to ease in near term after prices for secondary homes rise for a 19th month amid supply-demand imbalance,,01 Dec 2017
37,Tech turmoil dumps Tencent out of US$500 billion clubp: Investors dump shares in top names such as Samsung as malaise spreads from Wall Street,,01 Dec 2017
38,Hong Kong market falls sharply as tech and insurance stocks plunge: HK stock market expected to correct quickly as it has risen too rapidly in previous sessions,,01 Dec 2017
39,Shareholders of Singapore logistics firm GLP approve US$11.6 billion buyout by Chinese-led consortium,,01 Dec 2017
40,Short sellers were positioning themselves for a RYB slump even before claims of abuses surfaced,,01 Dec 2017
41,Bank of East Asia sells consumer finance assets to Chinese lender QL Finance for HK$1 billion: Move comes as part of cost-cutting push by the bank while QL Finance expands its operations,,01 Dec 2017
