,title,byline,dates
0,Child poverty alleviation work by Hong Kong government 'consistently failed' in 2017,,1-Jan-18
1,Father's plea,,1-Jan-18
2,"Hong Kong's new voluntary health insurance scheme to target young buyers with 'attractive' tax breaks: Plan for voluntary scheme set to be announced, but insurers say incentives to join must be attractive",,1-Jan-18
3,"Hongkongers to see electricity, postage and parking rates increase on first day of 2018: Electricity, parking and even posting letters will all cost more starting from today",,1-Jan-18
4,"Soft launch drawing Hongkongers to border shopping town reflects shift in retail strategy: Outdoor outlet-style shopping development, due to open next month, marks shift in retail strategy",,1-Jan-18
5,"'Boo', 'nano' and 'DQ' - eight of the catchiest terms from Hong Kong news headlines in 2017: Hong Kong weathered literal and figurative storms last year, from a super typhoon to political crises.",,1-Jan-18
6,"Charity project in China helps bridge divide between Hong Kong youth and mainland: While constructing real bridges in villages, the Wu Zhi Qiao charity helps establish other bonds",,1-Jan-18
7,"Hong Kong developers battle to rein in building costs, and avoid red tape",,1-Jan-18
8,"Hong Kong leader brushes off concerns of lawyers over China joint rail checkpoint plan, saying legal basis is clear: Chief executive breaks silence on plan for joint checkpoint, saying lawyers who oppose it are showing contempt for the mainland legal system",,1-Jan-18
9,Seeing in the new year,,1-Jan-18
10,The fine art of manufactured censorship,,1-Jan-18
11,Beijing enjoys best winter air quality in five years,,1-Jan-18
12,China's underwater surveillance network puts enemies in focus along maritime Silk Road: Undersea network allows better navigation and tracking of enemy vessels,,1-Jan-18
13,"New routes, smaller seats and 20 years on Chek Lap Kok: what 2018 has in store for aviation in Hong Kong: Ireland and Denmark links will be followed by Cathay's 17-hour flight to Washington, but prepare for tight squeeze as economy seats go 10 abreast",,1-Jan-18
14,Xi Jinping bids farewell to 2017 with New Year's Eve pledge to defend international rules: Presidential address also promotes China as defender of rule-based international order,,1-Jan-18
15,China can fill diplomatic void created by Trump,,1-Jan-18
16,Law might be needed to dim bright city lights,,1-Jan-18
17,The lighter side of nature,,1-Jan-18
18,A merry dance,,1-Jan-18
19,Teacher shortage hinders Xi Jinping's dream to make China a great sporting nation: Chronic shortage of physical education teachers stands in way of making China a sports powerhouse,,1-Jan-18
20,Could elderly togetherness help defuse China's greying time bomb?: Care for the elderly takes on new meaning after one couple seeks out companionship by renting rooms in their home to other senior citizens,,1-Jan-18
21,Home-grown aircraft carrier tops list of major additions to China's navy in 2017: President Xi Jinping has made modernising the world's biggest armed forces a priority,,1-Jan-18
22,Invincible caves,,1-Jan-18
23,"Could 2018 be Rex Tso's breakthrough year? Hong Kong's Wonder Kid might finally get his world title shot: 'Monster' is set to vacate his WBO belt, paving way for Wonder Kid to make his 2018 breakthrough",,1-Jan-18
24,Darling of Hong Kong cycling Sarah Lee Wai-sze refuses to be drawn on her future on the track: London 2012 heroine unsure about competing in Jakarta but is included in the World Cup squad,,1-Jan-18
25,Kapur prevails to win Royal Cup title: Indian golfer overtakes and then holds off Thai favourite Prom to triumph in Pattaya,,1-Jan-18
26,Ice fountain,,1-Jan-18
27,Get smarter - tellers must adapt as Chinese customers embrace digital banking services,,1-Jan-18
28,No 'one size fits all' solution as China's asset managers prepare for new VAT regime in 2018: Industry players need to gauge risks and costs related to new tax regime,,1-Jan-18
29,Shareholder fires back at 'rude' chairman in boardroom battle at troubled Hong Kong firm Convoy: Businessman Kwok Hiu-kwan attacks Johnny Chen's decision to invalidate his voting rights as he seeks to remove six existing directors,,1-Jan-18
30,"Asia US dollar bond issuance hits record in 2017 as demand moves from America: Issuances jump 40pc to US$377 billion as investors seek diversification, higher returns and lower risks amid improving fundamentals in the region",,1-Jan-18
